计算机类图书选购的几个问题	0	计算机时代	2000	2000年07期	l引育网络时代的到来和信息化产业的加速，信息交流变得越来越快，市场竞争日趋激烈，计算机类图书的出版、选购一直是一个热点问题。合理购买、选择优秀实用的计算机类图书，并尽快投入使用，一直是广大读者的心愿。2计算机类图书的现状和特点1）专业面广计算机类图书按系统可分为软件类和硬件类。其中软件类包括OS、程序设计语言、应用软件、教育类CAI、游戏软件等：硬件类包括组成原理、接口技术、系统结构、外部设备维修等方面的内容。按技术范围可分为技术类和非技术类。技术类多指用于软硬件开发、网络管理、工程应用等，例如WEB技术，VC＋十与接口技术；非技术类多指普及教育类、入门类，例如OFFICE、CAD、E－MAI	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200007020&dbname=CJFD9902
织网修库 行业“减负”	0	中国计算机用户	2000	2000年09期	当亚马逊网上书店一炮打响成为现代网络经营的童话时,它的成功也升起另一个讯号:传统的出版发行业将要面临新的挑战。尤其“网络出版”、“自主印刷”的迅速兴起,让有的人甚至认为“传统出版业将要终结”。当然专家指出,“关于终结的宣告不成熟”,但是,面对现代出版业在内容、形式以及业务环节的变化,新闻出版业如何发展?作为我国信息化建设全字系列之一的“全版工程”,又如何使信息技术与行业特色迅速结合?	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200009024&dbname=CJFD9902
打造书业界电子商务旗舰	0	中国计算机用户	2000	2000年32期	<正> 中国图书进出口(集团)总公司(简称中图公司)是国内最大、最具权威的出版经销机构,拥有雄厚营销实力和遍布全球营销网络,国外客商遍布110个国家和地区,并与10,000多家出版社、书商、音像公司、学术机构及文化传媒机构保持着长期友好的贸易往来,在国内书业界居举足轻重的地位。 在由传统经营模式转向21世纪网络经营模式的发展过程中,中图公司把企业电子化建设作为公司战略发展重要部署,发展以B2B为主要方向的	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200032011&dbname=CJFD9902
让ISP有利可图	1	中国计算机用户	2000	2000年01期	<正> 中国的ISP(ICP)们熬到了1999年,还真有点拨云见日的感觉,股市的刺激、风险投资的诱惑使得这个市场如雨后春笋般繁荣兴旺起来。然而细细分析它们的收入来源,赢利的机会并不多,难怪有人担心这种繁荣是否含有泡沫的成分。不过,在近日Novell工程师高峰介绍Novell的NDS eDirectory产品时,他向记者介绍的ISP另一获利途径,还真让人对ISP们的前途松了口气。 目前,接到ISP上的上网用户仍以个人身份为主,ISP收到的线路服务费用也实在有限,即便考虑到广告收入(兼ICP),也没谁能够大把赢利。不过,已经有人认识到了企业用户这个群体的巨大市场潜	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200001020&dbname=CJFD9902
通信体制革命与因特网经济	1	信息化建设	2000	2000年01期	计算机和微电子技术的发展导致了数字化技术革命。通信、广播电视和视听消费电子产品数字化进程快速发展，通信、广播电视这三个原来分工明确的行业出现融会和聚会现象。９４年以来因特网商业化获得巨大成功；提供了一种能够将不同类型网络进行无缝连接的有效方法。随着宽带ＩＰ技术的发展，在ＩＰ网上传输实时业务保证ＱｏＳ的问题基本得到解决，宽一带ＩＰ成为三网融合的结合点。通信业正在进行一场从面向连接，时分复用，电路交换的传统体制转向无连接，统计复用；包交换的新体制的体制革命、人类将进入宽带交换互式媒体新时代。三网融合将产生新一代的信息网。它将改变人们的社会、经济、文化、生活方式。因特网经济已经形成，将对经济发展产生	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200001002&dbname=CJFD9902
互联网经济是不是多彩的泡沫	1	信息化建设	2000	2000年01期	现今，互联网的发展开创了国民经济的新层次。将互联网技术应用于各种经济活动，必将大力促进各类软、硬件的发展，从而在投资领域和创造新的就业机会方面产生巨大的推动力。从这个角度而言，互联网经济的迅速膨胀决非偶然，但我们还是不禁要问──	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200001012&dbname=CJFD9902
信息时代的网络经济	1	信息化建设	2000	2000年02期	一、什么是网络经济 现在成为时尚而流行的网络经济或网络经济学，就其内容而言，实际上是互联网络经济或互联网经济学。人们利用网络，既可以传递信息，又可以从事各种社会和经济活动。网络经济就是通过网络进行的经济活动。这种网络经济是经济网络化的必然结果。网络化极大地加快了经济的市场化和全球化进程，它有利于发展中国家通过逐步开放和适度监管来利用世界上成熟的技术成果、有用的信息和知识资源以促进经济增长。 对网络经济可从不同的层面去认识它。从经济形态这一最高层面看，网络经济就是有别于游牧经济、农业经济、工业经济的信息经济或知识经济，由于所说的网络是数字网络，所以它又是数字经济。在这种经济形态中，信息网络尤其是	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002002&dbname=CJFD9902
“点COM”的时代	1	信息化建设	2000	2000年02期	对比是残酷的。一度被看作 中国国民经济象征的首钢，１９９９ 年９月在上海股票交易所上市， 股票价格在５元人民币左右，总 市值１１１多个亿人民币，刚刚成 立不久的ｃｈｉｎａ．ｃｏｍ，１９９９年７月 在美国Ｎａｓｄａｑ上市，股价８５ 美元左右，总市值超过３６亿美 元，是首钢的３倍。首钢拥有１０ 万员工，ｃｈｉｎａ．ｃｏｍ有员１１００多 人；首钢是国家投巨资兴建的特 大型企业，ｃｈｉｎａ．ｃｏｍ所拥有资产 中价值最高的是ｃｈｉｎａ．ｃｏｍ、 ｈｏｎｇｋｏｎｇ．ｃｏｍ、ｔａｉｗａｎ．ｃｏｍ等几个 城名。比特的分量重过了钢铁。 对比是残酷的。Ｃｈｉｎａ．ｃｏｍ３６亿美元的市值让人不能不联想到 中国计算机	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002003&dbname=CJFD9902
网络安全与Internet防火墙(上)	1	信息化建设	2000	2000年02期	电子商务是网络时代的宠“儿”，由于电子商务必须依靠网络，一这就注定了电子商务将继承计算机网络，尤其是Ｉｎｔｅｒｎｅｔ的所有优缺点，网络的安全问题自然就成为电子商务在施行过程中不可回避的一个问题。　　一个企业如果要构建自己的电子商务系统，无非要做两件事：与客户的交流和企业信息的网上发布与存储。 前一个问题涉及到两个方面：一个是身份的认证，企业要保证与其打交道的对象是一个合法的、有信誉保障的对象；同时要保证该对象有资格和企业进行一定范围内的信息、资金和物质的交流。 为了达到这一目标，目前除了使用传统的“用户名＋口令”的方法，一种新的智能卡技术也正在逐渐的投入使用。所谓智能卡就是密钥的一种媒体，一般	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002004&dbname=CJFD9902
中国互联网络发展状况统计报告	1	信息化建设	2000	2000年02期	中国互联网信息中心 （ＣＮ－ＮＩＣ）于 １９９７年 １１月、１９９８年 ７月、１９９９年１月和１９９９年７月分别发布了“中国互联网络发展状况统计报告”。在统计报告发表后，受到各个方面的重视，被国内外用户广泛引用，并且不断有用户要求ＣＮＮＩＣ提供最新的统计报告。为了使这项工作制度化、正规化，从１９９８年起ＣＮＮＩＣ决定于每年１月和７月发布统计报告。 本次统计调查的主要内容有：统计我国互联网络上网计算机数量、上网用户数量、城名注册数量及分布、各个互联网络国际出口带宽以及ＷＷＷ站点数量；通过网上联机调查时我国上网用户的分布、基本情况和特征等方面做出概况性的统计分析；通过网上联机调 查来了解我国上网用	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002010&dbname=CJFD9902
