title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
程序员调查③——年底大裁员	程序员	2002	2002年12期		请看 ； 职业历程 ； 个人总结 ； 末位淘汰制 ； 宽客 ； 玉都 ； 鄂不 ； 网户 ； 七表 ； 工作压力 ；	2002年即将过去,IT业的萎靡依然不见半点起色。“冬天”迟迟不走,“春天”遥望无期。做为国内外公司克服IT寒冬最“短、平、快”的方式,裁员手段再次成为IT白领必须直面的问题。不管是被裁或是主动走人,都是个人职业历程中的一个节点。而每一次年关的到来都是个人总结一年得失,规划来年发展的大好时机。如何看待可能经受的裁员遭遇,如何看待个人来年的发展,请看网友观点和我们的调查:	2002年12期_程序员调查③——年底大裁员.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212000&dbname=CJFD9902
活动回顾	程序员	2002	2002年12期		程序设计语言 ； 计算机科学 ； 微体系结构 ； 软件开发者 ； 软件开发人员 ； 程序系统 ； Athlon ； 中国软件 ； 软件开发商 ； 首席技术官 ；	<正> 自从C++之父Biarne Stroustrup博士的宏篇巨构《C++程序设计语言》(特别版)和《C++语言的设计和演化》在国内面世以来,得到了读者的强烈反响。这两部C++的重要作品引发了读者们对C++语言、程序设计乃至计算机科学的广泛讨论,C++之父中国行”也正是在此背景之下由梦想变成了现实。	2002年12期_活动回顾.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212001&dbname=CJFD9902
封面书摘	程序员	2002	2002年12期		主机名 ； 管理设备 ； 计算机安全 ； 分布式体系结构 ； Cisco ； 性能需求 ； 应用程序 ； 配置信息 ； 安全性风险 ； 配置文件 ；	<正> 用Hawk维护DNS的健康作者:Greg Heim 如果你是一个DNS管理员,你就会知道:一旦需要管理的主机达到一定的数量,DNS数据库就很容易失去与真实网络的同步。Hawk这个GPL的工具就是用于帮助DNS管理员解决这种问题的。Hawk可以跟踪DNS中记录的主机是否	2002年12期_封面书摘.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212002&dbname=CJFD9902
认识C++之父	程序员	2002	2002年12期		北欧语 ； 挪威语 ； 于非 ； 丘吉尔 ； 人能 ； 二止 ； 十干 ； 理语 ； 仿真系统 ； 科孚 ；	<正> 认识C++之父,要从他的名字开始。C++之父的名字是BjarneStroustrup。呃……我猜你正在默念这两个单词,并且我猜你多半已经念错了。按照Stroustrup博士自己的说法,对于非北欧语系的人来说,这个名字的确很难读。你应该“先用挪威语读几遍,在喉咙里塞上一块马铃薯,然后再来读”。至于我们中国人,读成“比扬尼·斯卓斯朱夫”是比较接近的。然后,你应该如何称呼他呢?你可以叫他“Stroustrup博士”或者“Stroustrup教	2002年12期_认识C++之父.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212003&dbname=CJFD9902
对话:中国软件核心技术	程序员	2002	2002年12期	【作者】 闫辉 ；	倪光南 ； 周伟焜 ； 大中华区 ； 面向对象 ； 文件系统 ； 和欣 ； 顺序执行 ； 中间件 ； 多线程 ； 应用系统 ；	<正> 主持人:中国软件公司规模小,产品附加值太低,缺乏在行业具有影晌的核心竞争力,在世界软件生态圈中属于那种“打工者”一类。IBM大中华区董事长兼首席执行总裁周伟焜指出,未来IT业的竞争在软件,软件的竞争又在于核心技术,如果没有找到自己的核心软件技术的话,今后将很难在国内软件界立足,更谈不上走出国门了。但如果找到适合自己发展的模式,十年之内,中国将涌现出一批世界级的软件公司。到底中国软件产业能不能找到自己的核心技术呢,我们有幸请到了倪光南院士、戴习为老师和回国创业的科泰世纪首席科学家陈榕一起深入探讨这方面的话题。	2002年12期_对话:中国软件核心技术.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212004&dbname=CJFD9902
程序员成长系列之四——从程序员到文档工程师	程序员	2002	2002年12期	【作者】 闫辉 ；	文档工程师 ； 编程人员 ； 开发模型 ； 需求管理 ； 文档化 ； 开发文档 ； 描述方式 ； 文档内容 ； 开发过程 ； 索引表 ；	<正> 前言:程序员成长系列写到现在,得到了众多读者的支持,但一些读者对“从程序员到×××”的说法提出了异议,认为很多角色并不都适合编程人员去转变,对此我们也表示赞同。但从另外的角度看,“程序员”这个称呼已经无法涵盖软件公司	2002年12期_程序员成长系列之四——从程序员到文档工程师.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212005&dbname=CJFD9902
Martin Fowler谈敏捷开发	程序员	2002	2002年12期	【作者】 Elden Nelson ； 熊节 ；	Martin Fowler ； 极限编程 ； 软件工程方法 ； 需求工程 ； 管理开发 ； 开发过程 ； 软件产品 ； 调用者 ； 描述能力 ； 嵌人式系统 ；	敏捷开发大帅Martin Fowler谈论如何选择开发方法、如何执行、如何应对遇到的问题。每个人都在谈论敏捷开发(Agile Development)。但是,你是否选择了正确的方法学?你所选的方法是否正常运转?你是否应该请求顾问的帮助?你应该如何管理开发的过程?还有,如何修补那些“先天不足”的代码?轻量级方法等的大师Martin Fowler将回答这些问题。	2002年12期_Martin+Fowler谈敏捷开发.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212006&dbname=CJFD9902
IBM落注一个圆满句点——IBM 2002开发者大会侧记	程序员	2002	2002年12期	【作者】 CSDN ；	IBM 2002 ； 开发者 ； 软件技术 ； 大会侧记 ； 刻意安排 ； 语音识别 ； 技术架构 ； 这一天 ； 计算机公司 ； 专家评审团 ；	2002年11月15日,IBM软件“魔力卡车”在结束西安、成都、深圳、广州、杭州、上海、南京和大连等8个城市的技术展示后,满载着来自全国各地的盛誉和好评,如期驶抵本次卡车全国行的终点站:北京,停靠在北京国际会议中心,向北京的开发人员展示IBM所创造的包括语音识别、市场智能门户、蓝牙和Web服务整合等在内的最新软件技术。“魔力卡车”这一天在北京出现不过是IBM中国区软件部刻意安排的一道小甜点,此刻他们正在为中国的开发人员倾力奉上一年一度最为激动人心的技术大餐——IBM 2002开发者大会。这是IBM连续第三年在北京为中国的开发者召开的大会。此次大会盛况空前,北京国际会议中心最大的一号会议厅座无虚席,来自全国各地的千余名开发人员汇集一堂,共同聆听IBM发出的技术之音。	2002年12期_IBM落注一个圆满句点——IBM+2002开发者大会侧记.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212007&dbname=CJFD9902
来自Web工程的报告	程序员	2002	2002年12期	【作者】 张友生 ；	软件危机 ； 计算机界 ； 软件开发 ； 软件组织 ； 软件工程 ； Web ； 软件生产 ； 应用软件 ； 软件项目开发 ； 网站建设 ；	<正> 20世纪60年代末至70年代初,“软件危机”一词在计算机界广为流传。人们在认真研究和分析了软件危机背后的真正原因之后,得出了“人们面临的不光是技术问题,更重要的是管理问题。管理不善必	2002年12期_来自Web工程的报告.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212008&dbname=CJFD9902
程序员的君子五德	程序员	2002	2002年12期	【作者】 田俊国 ；	职业标准 ； 能力素质 ； 项目利益 ； 行代码 ； 善假于物 ； 古代儒家 ； 实现需求 ； 不等于 ； 作坊式生产 ； 儒家文化 ；	<正> 程序员作为一种职业,有点像搞写作的作家,需要毅力和灵感。不同的是作家写作往往靠单打独斗,而大多数程序员却需要融入团队,在团队的项目成果中体现自己的成就,从这个侧面看,程序员又像搞建筑的工匠。程序员的职业标准,尚没有定论。在程序员的用人上,业界一直存在人才高消费的现象,单位向来比较重视程序员的能力和素质,以至于不少企业对本科学历以下的程序员说不。然而,能力素质毕竟在后天可塑造之列,而品格道德则属潜质,决定人才是否可塑。	2002年12期_程序员的君子五德.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212009&dbname=CJFD9902
塑造双赢的软件团队	程序员	2002	2002年12期	【作者】 焦会峰 ；	软件系统设计 ； 团队管理 ； 项目目标 ； 软件质量 ； 开发速度 ； 特有规律 ； 二次开发 ； 团队建设 ； 文档化 ； 人力资源 ；	<正> 一、为何建立软件团队? 专业化软件开发对软件质量、开发速度、技术难度、可管理、售后维护和二次开发等诸多方面提出了很高的要求,以往单枪匹马的程序员高手熬几个通宵就可以搞走一个项目的情况永远不会存在了。作为创造性劳动,软件开发最核心的一点就是软件产品完全是人的思想和经验的凝聚;需要遵循软件开发的特有规律,集结很多人的才智,需要不同的人分担不同的角色,在共同努力下才能够完成。团队不同于集体,团队是为了共同的目标而创建的,它注定由不同的角色来分担不同的任务。	2002年12期_塑造双赢的软件团队.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212010&dbname=CJFD9902
创业从失败谈起	程序员	2002	2002年12期	【作者】 袁源 ；	创业公司 ； 程序开发人员 ； 公众场合 ； 公司创业 ； 一级城市 ； 创业过程 ； 市场分析 ； 约束机制 ； 技术优势 ； 创业经验 ；	再提软件创业的话题,它还能让很多有技术的开发人员激动不已。想到那些功成名就的前辈程序员风度翩翩地频频出现在公众场合,很多自信的年轻后生会更加对自己创业的前景充满信心。一次心血来潮,程序开发人员就可能使得自己的职业轨迹发生变异。一旦真的走了出去另起炉灶成立新公司,任何创业者都将会遇到一系列的实际问题,而能否克服这些问题将成为创业成败的关键。如果能够在举事之前尽可能考虑周全,让新公司将来的发展完全在自己的掌握之中,那将意味着事业成功了一半。为此,我们在此举一典型反例,并提供诸多注意事项,希望引起有心创业者的重视。	2002年12期_创业从失败谈起.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=ITSJ200212011&dbname=CJFD9902
