title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
体元图形及其扫描生成	计算机工程	1994	1994年S1期	【作者】 郑飞 ； 叶尚辉 ； 【机构】 西安电子科技大学电子机械系!西安710071 ；	体元图形 ； 面元图形 ； 扫描变换 ；	本文对体元图形技术的产生、发展和特点等进行了分析,对其优缺点进行了客观的评价,提出了通过扫描变换来结合体元图形和传统的基于表面描述的面元图形的方法,以充分发挥出各自的优点,增强其造型能力。并完成部分具体实现。	1994年S1期_体元图形及其扫描生成.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1000&dbname=CJFD9498
形状优化几何造型的有理EE样条方法	计算机工程	1994	1994年S1期	【作者】 郭太勇 ； 王妮 ； 梁迎春 ； 孙靖民 ； 【机构】 哈尔滨工业大学机械工程系!哈尔滨150006 ；	形状优化 ； 几何造型 ； 有理EE样条 ；	介绍三次EE样条方法,通过调整因子K,形成插值或拟合曲面,实现形状的整体变化;构造的有理EE样条方法。给出了插值曲面和似合曲面统一的设计和计算形式,方便编程,提高了计算效率,而且在控制点给定时,改变形状控制参数K和W ? 能改变整体和局部结构形状,并满足曲面连续性、保形和工程上的光顾性要求。基于该方法,文中建立了形状优化的数学模型。	1994年S1期_形状优化几何造型的有理EE样条方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1001&dbname=CJFD9498
光学系统像质综合评价软件包	计算机工程	1994	1994年S1期	【作者】 曾吉勇 ； 何为亮 ； 赵钦球 ； 【机构】 空军高炮学院理化教研室!桂林541003 ；	光学像质评价 ； 光学系统计算机辅助设计 ；	在光学系统计算机辅助设计过程中,图像质量评价十分重要。目前广泛采用了几何光学评价方法,研究表明:光学系统一般没有达到最佳状态。衍射基评价函数的采用,无疑具有较高的评价精度,然而软件系统一般需要高速、大容量的计算机。本文从理论分析着手探讨了在微型机上实现高速、高精度光学系统像质综合评估的方法,具体分析了作者研制的软件系统功能和软件结构。	1994年S1期_光学系统像质综合评价软件包.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1002&dbname=CJFD9498
圆形窗口的多边形裁剪	计算机工程	1994	1994年S1期	【作者】 杜玉越 ； 【机构】 聊城师范学院计算中心!山东聊城252059 ；	计算机图形学 ； 圆形窗口 ； 多边形 ； 裁剪算法． ；	提出了一种新颖而又实用的圆形窗口V,对多边形P的裁剪算法。本算法将多边形P的边视为有向线段,通过引入多边形顶点的入边及出边交点的概念,深人研究了P被V裁剪后封闭区域的边界确定问题,并给出了作出多边形P在圆形窗口V之内部分的定理。	1994年S1期_圆形窗口的多边形裁剪.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1003&dbname=CJFD9498
工程制图基本图元的矢量化	计算机工程	1994	1994年S1期	【作者】 刘建平 ； 朱育革 ； 【机构】 国防科技大学三系!长沙410073 ；	矢量化 ； 图像处理 ； 工程制图 ；	计算机对工程制图的处理已经得到了广泛的应用,其中矢量化起到了关键的作用,也成了对工程制图扫描文件进行处理的最大困难。本文提供了一种改进的ORTHOGONAL2IG—ZAG算法,能够快速地对任意图元(直线、曲线、圆弧等)进行矢量化,在不产生较大的失真的情况下,保留了原图的所有关键信息,同时由于本算法简单可靠,能够保证完成大压缩比数据压缩。	1994年S1期_工程制图基本图元的矢量化.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1004&dbname=CJFD9498
口腔义齿的三维造型方法探讨	计算机工程	1994	1994年S1期	【作者】 周文灵 ； 陈敏 ； 董士海 ； 张远鹏 ； 吕培军 ； 【机构】 北京大学!北京100871 ； 北京医科大学口腔医院 ；	口腔义齿 ； 三维造型 ；	本文阐述了口腔义齿的三维信息提取方法,并用计算机图形学方法以交互的方式实现牙体的三维造型,为用户提供了方便、有效的编辑于段,并给出了单颗义齿及全口义齿造型的显示实例。	1994年S1期_口腔义齿的三维造型方法探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1005&dbname=CJFD9498
ZD_MCADⅡ造型系统中的特征技术	计算机工程	1994	1994年S1期	【作者】 李海龙 ； 董金祥 ； 谭孟恩 ； 葛建新 ； 【机构】 浙江大学人工智能研究所!国家CAD&CG重点实验室杭州310027 ；	基于特征的设计 ； 特征识别与提取 ； 特征操作 ； 特征编辑 ； 特征库 ；	本文以我们开发的特征造型系统ZD_MCADⅡ为背景,提出了传统的造型系统与特征造型系统相结合,基于特征的设计与特征识别相结合的思想,对本系统的功能及体系结构作了较为详细的介绍,并给出了一个基于空间约束的特征编辑与特征库的实现方案。本系统目前已实现其原型系统。	1994年S1期_ZD_MCADⅡ造型系统中的特征技术.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1006&dbname=CJFD9498
几何造型中的SWEEP曲面	计算机工程	1994	1994年S1期	【作者】 谭孟恩 ； 董金祥 ； 李海龙 ； 葛建新 ； 【机构】 浙江大学人工智能所!浙江大学CAD&CG国家重点实验室杭州310027 ；	曲线 ； SWEEP ； 融合 ； Bspline ；	SWEEP是一个构造3D形体的强有力的工具,本文主要介绍基于坐标变换的SWEEP方法,并将这种描述用数学模型表达出来,以此来讨论曲面的性质。本文还根据实际应用情况,提出了相应的SWEEP曲面的数据结构。	1994年S1期_几何造型中的SWEEP曲面.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1007&dbname=CJFD9498
三维形体重建的样条方法	计算机工程	1994	1994年S1期	【作者】 杜宏明 ； 【机构】 西南交通大学机械工程学院!成都610031 ；	三维形体 ； 样条 ； 三角化 ； 网格模型 ； 技术生成 ； 轮廓线 ； 三角网格 ； 插值方法 ； 扫描转换 ； 像素图 ；	本文给出一种按给定横截面重建三维形体的方法,该方法以样条函数为工具,采用实体和表面处理技术生成一由三角化网格模型去逼近三维形体。该方法可处理具有分支的形体,同时也提供了一种形体存储的有效办法。	1994年S1期_三维形体重建的样条方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1008&dbname=CJFD9498
汽车车身表面造型中的构造曲率法	计算机工程	1994	1994年S1期	【作者】 李东 ； 苏晓红 ； 【机构】 上海交通大学!上海200030 ； 哈尔滨船舶工程学院!哈尔滨150001 ；	汽车车身 ； B样条曲线 ； 构造曲率法 ；	B样条曲线、曲面是计算机辅助汽车车身造型的一个重要工具。本文对目前常用的几种B样条曲线插值方法进行了讨论,并提出了一种新的B样条曲线插值方法一构造曲率法。设计者可通过调整该方法引入的曲率参数K,灵活地改变端部形状,使之合乎设计要求。文章最后给出了应用实例。	1994年S1期_汽车车身表面造型中的构造曲率法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJC1994S1009&dbname=CJFD9498
