title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
拨接PPP的使用及其效率探讨	计算机时代	1996	1996年06期	【作者】 陈庆章 ； 【机构】 浙江工业大学 ；	网络 ； Internet ； PPP ； SLIP ；	本文介绍在ＭＳ－ＤＯＳ、Ｗｉｎｄｏｗｓ及Ｌｉｎｕｘ的环境下，如何将ＰＰＰ发挥到最高效益。内容包括如何设定其环境以及保持拨接线路高传输与稳定性，以期能有效地将ＴＣＰ／ＩＰ之软件应用在拨接网络上。	1996年06期_拨接PPP的使用及其效率探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.000&dbname=CJFD9498
WPS系统功能的扩展－－即用即弹记事薄	计算机时代	1996	1996年06期	【作者】 狄振强 ； 林飞 ； 孟广盈 ； 【机构】 山东曲阜师范大学 ；	WPS ； 数据库查询 ； 大规模数据 ； 查询时间 ； 曲阜师范大学 ； 数据库系统 ； 程序测试 ； 批处理文件 ； 系统的功能 ； 功能键 ；	ＷＰＳ系统功能的扩展－－即用即弹记事薄山东曲阜师范大学狄振强林飞孟广盈对信息的索引查询，人们往往采用数据库查询方式，特别是对于大规模数据的查询，它效率高、速度快，可以节省大量的查询时间。但这种方法有一定的缺陷，即必须经过建库、编程、索引等一系列麻烦的...	1996年06期_WPS系统功能的扩展－－即用即弹记事薄.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.001&dbname=CJFD9498
纹织CAD系统中的图案色彩识别	计算机时代	1996	1996年06期	【作者】 陈钢 ； 【机构】 浙江大学电气自动化研究所 ；	纹织 ； 分色 ； 判决 ；	本文介绍了一种行之有效的识别方法：树分类识别法，由于它采用了兼取最小距离识别法及最近邻域识别法的优点，利用图案空间相关信息的预测方法及考虑各类大小的分类算法，结果不仅识别精度大大提高，而且大大提高了识别速度。	1996年06期_纹织CAD系统中的图案色彩识别.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.002&dbname=CJFD9498
在计算机屏幕上动态显示波形方法	计算机时代	1996	1996年06期	【作者】 黄群骥 ； 崔春燕 ； 【机构】 中科院计算所 ； 北京医大第一附属医院 ；	动态显示 ； 波形 ； 虚拟屏 ； 窗口 ； 示波器 ； 视屏缓冲区 ； 显示卡内存 ；	本文介绍虚拟大屏幕的原理及应用虚拟屏技术在屏幕上动态显示波形的方法。	1996年06期_在计算机屏幕上动态显示波形方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.003&dbname=CJFD9498
现代宾馆计算机管理系统的模式与设计	计算机时代	1996	1996年06期	【作者】 陈昕峰 ；	开发工具 ； MIS ； OA ；	本文根据现代宾馆的需求特点，提出现代宾馆管理系统应具备的特性：易用性、综合性、开放性，并对现代宾馆管理系统的系统模式与设计手段进行阐述。	1996年06期_现代宾馆计算机管理系统的模式与设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.004&dbname=CJFD9498
用VB中的MCI．VBX定制控制设计多功能媒体播放程序	计算机时代	1996	1996年06期	【作者】 陈震 ； 陈彬 ； 【机构】 长春地质学院 ；	Visual ； Basic ； MCI．VBX定制 ； 控制 ； 事件 ； 对象 ；	本文介绍了ＭｉｃｒｏｓｏｆｔＶｉｓｕａｌＢａｓｉｃ中的ＭＣＩ．ＶＢＸ定制控制在ＶＢ中的作用及如何使用，并阐述了ＭＣＩ．ＶＢＸ在开发Ｗｉｎｄｏｗｓ多媒体应用程序中的作用。给出了一个简易多功能媒体播放系统，及其设计思想和各控制事件过程。	1996年06期_用VB中的MCI．VBX定制控制设计多功能媒体播放程序.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.005&dbname=CJFD9498
VB在工业自动化中的应用	计算机时代	1996	1996年06期	【作者】 王稳同 ； 【机构】 杭州新自达自动化工程有限公司 ；	实时趋势 ； 图形控制 ；	本文介绍ＶｉｓｕａｌＢａｓｉｃｆｏｒＷｉｎｄｏｗｓ９ＶＢ）ＶＢ在开发冰箱冷柜温度检测系统中的几个应用，该软件由ＡＤ．ＤＬＬ（由ＭＳＶＣ编写的一动态连接库）负责数据采集，ＶＢ加工处理数据、集成系统。	1996年06期_VB在工业自动化中的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.006&dbname=CJFD9498
FORTRAN到C语言转换的一些方法	计算机时代	1996	1996年06期	【作者】 谭颖 ； 【机构】 沈阳工学院 ；	FORTRAN ； C语言 ； 语言转换 ； 应用软件 ； 谭颖 ； 浮点数 ； 层次关系 ； 语法规则 ； 编写方法 ； 加减乘除 ；	ＦＯＲＴＲＡＮ到Ｃ语言转换的一些方法沈阳工学院谭颖现在已经有将ＦＯＲＴＲＡＮ转换为Ｃ语言的应用软件，但在不太复杂的程序情况下，我们自己可以简便地做相应的转换。Ｃ语言与ＦＯＲＴＲＡＮ有许多相似之处，如在ＦＯＲＴＲＡＮ中的ＣＯＭＭＯＮ语句可以用Ｃ语言中的...	1996年06期_FORTRAN到C语言转换的一些方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.007&dbname=CJFD9498
浅谈FoxBASE与AutoLISP之间的数据接口	计算机时代	1996	1996年06期	【作者】 唐敦兵 ； 【机构】 南京理工大学研９４—４班 ；	表 ； 文本文件 ； （．TXT） ；	本文通过ＡＵＴＯＬＩＳＰ语言中的表与ＦＯＸＢＡＳＥ下的文本文件之间的相互转换，实现ＦＯＸＢＡＳＥ与ＡＵＴＯＬＩＳＰ之间的数据接口，并给出了程序。	1996年06期_浅谈FoxBASE与AutoLISP之间的数据接口.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.008&dbname=CJFD9498
基于文本文件的高级语言（软件）数据共享问题	计算机时代	1996	1996年06期	【作者】 黄兴无 ； 【机构】 太仓职业高级中学教务处 ；	计算机 ； 软件 ； 数据 ； 共享 ；	本文对计算机常用软件（如Ｃ语言、ＦＯＸＢＡＳＥ、ＦＯＲＴＲＡＮ、ＢＡＳＩＣ、ＰＡＳＡＣＬ及ＣＯＢＯＬ、等）间的数据共享与参数传递作了较全面的介绍，并重点介绍了数据共享的具体软件方法。	1996年06期_基于文本文件的高级语言（软件）数据共享问题.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS606.009&dbname=CJFD9498
