title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
工业软件国产化不是一句口头禅	软件世界	2010	2010年12期	【作者】 刘琼 ；	工业软件 ； 管理软件厂商 ； 周宏仁 ； 软博会 ； 工业化道路 ； 国产软件 ； 工业企业发展 ； 企业研发能力 ； 规划阶段 ； 浙大中控 ；	<正> 在"两化融合"进程加快、走新型工业化道路步伐加速的形势下,大力发展工业软件已成为各方共识。上海针对工业软件专门出台行动计划;北京明确提出要大力发展工业软件;用友、金蝶等传统管理软件厂商也表现出积极进军工业软件领域的意愿。一时间,工业软件成为业界热议的话题,在多部"十二五"规划草稿中也频频亮相。俗话说,知易行难。与2008年周宏仁在第十二届软博会高调提出"中国应大	2010年12期_工业软件国产化不是一句口头禅.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012001&dbname=CJFDLAST2014
要闻	软件世界	2010	2010年12期		首席技术 ； 美国新奥尔良 ； 软件产业基地 ； 物联网 ； 日至 ； 中国惠普 ； 甲骨文公司 ； 高新技术人才 ； 信息产业园 ； 产业发展论坛 ；	<正> 华盛顿著名黑客出任美国联邦贸易委员会首席技术专家。纽约WebOS2.0数月内将登陆所有Palm装置。新奥尔良2010年国际超级计算机大会11月13日至19日在美国新奥尔良举行。	2010年12期_要闻.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012002&dbname=CJFDLAST2014
中国软件和信息服务高峰论坛在京举行	软件世界	2010	2010年12期		中国软件 ； 软件信息 ； 颁奖礼 ； 领军 ； 电子信息 ； 信息服务 ； 院党委书记 ； 产业发展研究 ； 十年 ；	<正> 11月25日,"2010年中国软件和信息眼务高峰论坛暨辉煌十年——十大领军人物、十大领军企业颁奖礼"在北京举行,中国电子信息产业发展研究院党委书记洪京一、中国软件行业协会副理事长兼秘书长胡崑山出席会议。本次会议以"创新发展软件信息服务,支撑产业调结构促增长"为主题,共	2010年12期_中国软件和信息服务高峰论坛在京举行.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012003&dbname=CJFDLAST2014
声音	软件世界	2010	2010年12期		传志 ； 董事局主席 ； 全球市场份额 ； 中国企业家 ； 用友软件 ； 免费杀毒 ； 法国里昂 ； 中国软件 ； 用友公司 ； 金山网络 ；	<正> "现在联想PC全球市场份额更是历史性地突破双位数,达到10.2%,比市场平均增速快了一倍。"——联想集团董事局主席、联想控股有限公司总裁兼董事长柳传志近期,柳传志在法国里昂市获得"世界企业家"大奖,而获此殊荣的中国企业家今年只有柳传志一人。评委会认为在柳传志的带领下,联想并购了IBM的所有的PC部门,成功地让联想与国际接轨而获得这项荣誉。而在国际化之后联想的下一步该怎么走,这个问题还需要他与更多联想人去斟酌。	2010年12期_声音.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012004&dbname=CJFDLAST2014
地方资讯	软件世界	2010	2010年12期		挂牌交易 ； 质押融资 ； 技术专利 ； 海外机构 ； 东软集团 ； 行业解决方案 ； 外包发展 ； 外经贸委 ； 产业论坛 ； 电子信息 ；	<正> 北京市:中关村自主创新企业再添技术融资新渠道日前,中国技术交易所宣布,将与中粮信托公司就设立"自主创新知识产权融资集合资金信托计划"签订合作备忘录。这意味着中关村众多研发机构今后将新增一条用技术专利质押融资的新渠道。据相关人员介绍,众多研发机构拥有大量的技术专利,但作为无形资产,以前很难用技术融到资金,当研发机构把这些技术专利送到技术市场挂牌交易时,如果这些技术专利具有融资功能,将大大提高交易的积极性。	2010年12期_地方资讯.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012005&dbname=CJFDLAST2014
地方观点	软件世界	2010	2010年12期		郭金 ； 世界城市 ； 经济发展方式 ； 顾问委员会 ； 资源平台 ； 综合保税区 ； 中国特色 ； 产业转型升级 ； 信息服务产业 ； 府副 ；	<正> 北京市委副书记、市长郭金龙"大家要提振信心谋发展,通过企业的发展壮大,共同把中关村国家自主创新示范区建设好、发展好,为建设中国特色的世界城市、加快首都经济发展方式转变贡献力量。"链接:中关村国家自主创新示范区企业家顾问委员会座谈会上,北京市委副书记、市长郭金龙表示,市政府将认真贯彻各项指示精神,探索建立首都创新资源平台。	2010年12期_地方观点.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012006&dbname=CJFDLAST2014
云计算时代真的到来了吗?	软件世界	2010	2010年12期	【作者】 刘亚杰 ；	计算时代 ； 谷歌 ； 中小型企业 ； 网络攻击 ； 发展试点 ； 先锋作用 ； 何来 ； 信赖度 ； Matthew ； 数据迁移 ；	<正> 现如今,"云计算"的热度越来越高,而我们就从此进入"云计算"时代了吗?不管它是否到来,我们都应该冷静一下,深刻理解一下"云计算"。只要是围绕"云计算"的话题,从来就不缺少讨论的参与者。谷歌以应用托管、企业搜索以及其他形式向企业开放他们的"云";微软针对中小型企业和个人用户推出众多"软件即服务"产品;IBM在2008年"云计算"领域的累积投入就已	2010年12期_云计算时代真的到来了吗?.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012007&dbname=CJFDLAST2014
背景新闻	软件世界	2010	2010年12期		云计算中心 ； 物联网 ； 新一代互联网 ； 无锡新区 ； 信息产业 ； 高性能计算机 ； 应用支撑 ； 软件服务业 ； 三网融合 ； 计算标准 ；	<正> 中国物联网云计算中心无锡启用 11月26日,无锡新区与国内高性能计算机龙头曙光信息合作建设的中国物联网云计算中心今日启用,部署峰值性能达百万亿次/秒的计算机系统,可为目前驻扎于此的大量科研院所和企业提供高效能云计算服务应用支撑。云计算是整个信息产业公认的未来发展趋势,也是推动新一代互联网、物联网、	2010年12期_背景新闻.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012008&dbname=CJFDLAST2014
专家观点	软件世界	2010	2010年12期		专家观点 ； 身份管理 ； 业务程序 ； cipher ； 道云 ； 不知道 ；	<正> 用户对于自己的信息一无所知。——身份管理供应商Tricipher公司的首席执行官John Desantis最糟糕的事情在于我们采用了"云"这个字,听起来让人感觉业务程序像云一样被直接暴露在外面。——Thinkstrategies公司的分析师Jeff Kaplan	2010年12期_专家观点.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012009&dbname=CJFDLAST2014
信息服务	软件世界	2010	2010年12期		市场覆盖 ； 经验优势 ； 服务团队 ； 信息服务 ； 黄仁勋 ； 互联网工程 ； 网络实名 ； 软件集团 ； 李小龙 ； 国产电影 ；	<正> 微软安心服务全球首发近日,微软公司正式推出针对成长型企业的微软安心服务。微软服务团队将发挥其企业级信息化实施的经验优势,及遍布亚太区的强大技术支持团队,携手合作伙伴拓展市场覆盖,为广大成长型企业用户提供多样、增值的原厂服务模式,充分满足企业快速成长及	2010年12期_信息服务.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012010&dbname=CJFDLAST2014
国外动态	软件世界	2010	2010年12期		应用程序 ； 国外动态 ； Android ； Store ； 首款 ； 智能平台 ； 数据中心 ； 出口带宽 ； 终端用户 ； 网络应用 ；	<正> 瑞典推出全球首款Android电视Scandiinavia安卓电视预装了Google Android 1.5操作系统,它可以通过自有的AppStore下载电视专用的应用程序,并具有相当的扩展性。目前,Scandinavia安卓电视支持大概20多款应用程序,预计今年年底,其App Store应用程序商店可用软件将超过1000款。	2010年12期_国外动态.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ201012011&dbname=CJFDLAST2014
