title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
基于PSCAD软件的新建500kV线路输电工程内过电压计算分析	现代计算机(专业版)	2014	2014年36期	【作者】 李卿 ； 段长君 ； 陈少红 ； 【Author】       LI Qing;DUAN Chang-jun;CHEN Shao-hong;Hohhot Power Supply Bureau;Inner Mongolia Extral High Voltage Power Supply Bureau;Changchun University of Technology;Inner Mongolia Power (Group) Co.,Ltd.; 【机构】 呼和浩特供电公司 ； 内蒙古超高压供电公司 ； 长春工业大学 ； 内蒙古电力(集团)有限责任公司 ；	工频过电压 ； 操作过电压 ； 潜供电流 ； 恢复电压 ； 自励磁过电压 ； Frequency Overvoltage ； Operation Overvoltage ； Secondary Arc Current ； Recovery Voltage ； Self-Excitation Overvoltage ；	为满足新建某500kV线路输电工程系统现场启动调试需要,利用PSCAD分析软件对即将投产得该工程进行工频过电压、操作过电压、潜供电流与恢复电压的计算分析。结算结果均满足相关规程规定要求,并为保证该工程系统现场启动调试过程中设备安全和确定过电压保护配置及重合闸时间提供理论依据,为运行提供参考。该工程内过电压计算也为同类工程的过电压计算提供参考。	2014年36期_基于PSCAD软件的新建500kV线路输电工程内过电压计算分析.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436001&dbname=CJFDLAST2015
基于指纹认证的行车安全系统设计	现代计算机(专业版)	2014	2014年36期	【作者】 汤海林 ； 【Author】       TANG Hai-lin;Department of Computer Science, Guangdong Baiyun University; 【机构】 广东白云学院计算机系 ；	指纹认证 ； 汽车终端 ； 行车安全 ； Fingerprint Authentication ； Car Terminal ； Traffic Safety ；	汽车应用的普及带来汽车安全的隐患,基于指纹认证的行车安全系统可实现对驾驶员信息认证、汽车行驶过程、行驶状况、道路状况和交通信息的实时监控,有效预防汽车行驶的安全问题。详细阐述行车安全系统的功能、系统模块设计、硬件系统设计和软件系统设计,分析汽车终端模块的硬件结构和软件功能实现方法,给出基于VC++的汽车终端功能实现的数据类。通过测试,系统能实时、准确地获取汽车行驶的动态数据,有效实现汽车安全管理。	2014年36期_基于指纹认证的行车安全系统设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436002&dbname=CJFDLAST2015
以实例为切入点的高职物联网应用技术专业教育第一课	现代计算机(专业版)	2014	2014年36期	【作者】 翟鸿雁 ； 【Author】       ZHAI Hong-yan;Guangzhou City Polytechnic; 【机构】 广州城市职业学院 ；	物联网应用技术 ； 专业教育 ； 高职 ； 第一课 ； Internet of Things Application Technology ； Professional Education ； Higher Vocational Education ； First Lesson ；	物联网技术发展迅速,但高职物联网应用技术专业教育尚处于初期,因而科学、直观、紧扣实际、有效激发学生专业学习的第一课尤为重要。以物联网应用技术实例为专业教育切入点,采用阶梯式递进的方法带领学生走进物联网,感知物联网,从而充分调动学生专业学习积极性,更好地让学生了解专业人才定位,明确学习目标和就业方向,为整个物联网应用技术专业教育打下坚实基础。	2014年36期_以实例为切入点的高职物联网应用技术专业教育第一课.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436003&dbname=CJFDLAST2015
数字媒体实验教学模式与创新人才培养研究	现代计算机(专业版)	2014	2014年36期	【作者】 李杰 ； 【Author】       LI Jie;North China University of Technology; 【机构】 北方工业大学 ；	数字媒体 ； 实验教学 ； 创新人才 ； Digital Media ； Experimental Teaching ； Innovative Talents ；	在数字媒体基础教育中,创新人才的培养已引起数字媒体教学的关注,而实验教学不但可以增强学生的工程实践能力,还可以培养学生的创新能力。根据当前数字媒体发展情况,指出实验教学以及创新人才所存在的问题,从教学内容、培养方式以及专业结构等方面提出一些方法和思路。	2014年36期_数字媒体实验教学模式与创新人才培养研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436004&dbname=CJFDLAST2015
学科竞赛与开放实验室相结合的卓越网络人才培养途径研究	现代计算机(专业版)	2014	2014年36期	【作者】 温武 ； 郭四稳 ； 李鹏 ； 王秀妮 ； 【Author】       WEN Wu;GUO Si-wen;LI Peng;WANG Xiu-ni;School of Computer Science & Educational Software, Guangzhou University; 【机构】 广州大学计算机科学与教育软件学院 ；	网络工程专业 ； 学科竞赛 ； 实验室 ； Network Engineering ； Discipline Competition ； Laboratory ；	结合网络工程专业建设的实际,从转换教育观念、加强实验室建设、丰富网络课程教学内涵及采取的配套措施等方面,阐述网络工程学科竞赛团队组织的特点、管理方式及其成效,力求在网络工程专业培养工程型高素质人才方面探索出一条新路。	2014年36期_学科竞赛与开放实验室相结合的卓越网络人才培养途径研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436005&dbname=CJFDLAST2015
新建地方本科院校通信专业基础课程教学改革探索	现代计算机(专业版)	2014	2014年36期	【作者】 郭常盈 ； 张芳 ； 【Author】       GUO Chang-ying;ZHANG Fang;Department of Computer Science and Technology,Nanyang Institute of Technology; 【机构】 南阳理工学院计算机科学与技术系 ；	教学改革 ； 通信 ； 教学内容 ； 教学方法和手段 ； 实践环节 ； Teaching Reformation ； Communication ； Teaching Contents ； Teaching Methods ； Practice Segment ；	通信专业基础课程对后续专业课程的影响很大。针对专业基础课程的理论性强、内容繁多、概念抽象及学生学习热情不高等问题,结合南阳理工学院通信专业教学过程中的实际情况,从教学内容、教学方法、教学手段及实践教学等多方面等方面进行探索分析,并运用具体教学实例予以说明。实践表明,这些改革尝试提高学生的学习积极性和自主学习能力。	2014年36期_新建地方本科院校通信专业基础课程教学改革探索.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436006&dbname=CJFDLAST2015
高职院校物联网应用技术专业建设探讨	现代计算机(专业版)	2014	2014年36期	【作者】 曹文梁 ； 柯钢 ； 【Author】       CAO Wen-liang;KE Gang;Department of Computer Engineering,Dongguan Polytechnic; 【机构】 东莞职业技术学院计算机工程系 ；	物联网 ； 产业发展 ； 人才需求 ； 专业建设 ； Internet of Things ； Industrial Development ； Talents Demand ； Professional Construction ；	物联网是继计算机、互联网之后的第三次信息产业浪潮,是战略新兴产业,具有广阔的市场前景,未来几年,物联网专业人才供不应求。从物联网的产业发展情况、物联网产业人才需求状况、物联网专业建设的思路和和物联网专业建设的思考等方面进行论述,探讨高职院校的物联网应用技术专业建设,为培养高素质技能型物联网专业人才提供参考。	2014年36期_高职院校物联网应用技术专业建设探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436007&dbname=CJFDLAST2015
世界大学城在成教《计算机应用基础》中的教学初探	现代计算机(专业版)	2014	2014年36期	【作者】 谭慧琳 ； 【Author】       TAN Hui-lin;Shaoyang Medical College; 【机构】 邵阳医学高等专科学校 ；	计算机应用基础 ； 世界大学城 ； 成人教育 ； Computer Application Basis ； World University City ； Adult Education ；	世界大学城是以用户空间为基础的资源共享型学习平台,以其为平台的教学研究目前受到越来越多教育者的关注。从世界大学城的功能出发,探究世界大学城平台下的成教《计算机应用基础》教学模式,为后续网络空间课程的建设和应用提供参考。	2014年36期_世界大学城在成教《计算机应用基础》中的教学初探.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436008&dbname=CJFDLAST2015
项目教学法在嵌入式实践教学中的应用	现代计算机(专业版)	2014	2014年36期	【作者】 潘凤 ； 【Author】       PAN Feng;Department of Computer Science and Technology, Yuncheng University; 【机构】 运城学院计算机科学与技术系 ；	项目教学法 ； 嵌入式 ； 实践教学 ； 教学改革 ； Project Teaching Method ； Embedded ； Practice Teaching ； Teaching Reformation ；	嵌入式技术的特殊性,使得它的理论与实践同样重要。针对各高校现有嵌入式实践课教学模式单一、效果不佳的现状,结合教学经验对其教学方式、方法加以改革,将项目教学法融入到嵌入式的实验教学中,收到良好的效果。	2014年36期_项目教学法在嵌入式实践教学中的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436009&dbname=CJFDLAST2015
高职院校计算机等级考试组织管理工作的思考	现代计算机(专业版)	2014	2014年36期	【作者】 陈诚 ； 黄春兰 ； 【Author】       CHEN Cheng;HUANG Chun-lan;Office of Academic Affairs,Nanjing College of Information Technology;Institute of Information Services,Nanjing College of Information Technology; 【机构】 南京信息职业技术学院教务处 ； 南京信息职业技术学院信息服务学院 ；	NCRE ； 组织管理 ； 考试流程 ； NCRE ； Organization and Management ； Examination Process ；	全国计算机等级考试(NCRE)的社会认可度越来越高,高职院校参考的学生越来越多。以南京信息职业技术学院为例阐述做好NCRE考试组织管理工作需要重点考虑的一些问题,对开展同类考试的单位具有很好的学习、借鉴意义。	2014年36期_高职院校计算机等级考试组织管理工作的思考.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS201436010&dbname=CJFDLAST2015
