title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
基于Petri网的自动售货机销售系统建模及验证	计算机系统应用	2008	2008年12期	【作者】 朱伟 ； 尧飘海 ； 鲍陈 ； 张云华 ； 【机构】 浙江理工大学信息电子学院 ；	自动售货机销售系统 ； 层次Petri网 ； SNOOPY仿真 ； 可达图 ；	提出了一种层次Petri网建立多媒体自动售货机销售系统模型。首先给出了层次Petri网在该系统中的形式化定义及描述,运用分层设计、逐步细化的思想降低系统复杂度,使该系统设计直观、清晰。然后,利用SNOOPY仿真工具和Petri网可达图分别从定性和定量两个方面加以分析,验证了该模型的合理性和有效性。研究表明,层次Petri网是多媒体自动售货机销售系统建模的一种有效途径。	2008年12期_基于Petri网的自动售货机销售系统建模及验证.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812002&dbname=CJFD0608
无线局域网入侵防御系统的研究和设计	计算机系统应用	2008	2008年12期	【作者】 陈观林 ； 李阳 ； 【机构】 浙江大学城市学院计算机科学与工程学系 ； 杭州师范大学信息科学与工程学院 ；	无线局域网 ； 入侵防御系统 ； 入侵诱骗 ； 规划识别 ； 网络安全 ；	入侵防御系统是一种新型的网络安全技术,为了对无线局域网的入侵攻击行为进行实时监测和主动响应,设计了一个WLAN入侵防御系统模型——SmartWIPS。系统利用入侵诱骗技术和规划识别方法对无线网络数据包进行分析,能够智能识别攻击者的入侵意图,提供实时响应和主动阻断,从而有效提高WLAN的安全性。	2008年12期_无线局域网入侵防御系统的研究和设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812003&dbname=CJFD0608
基于应用层组播的远程授课直播系统的设计	计算机系统应用	2008	2008年12期	【作者】 刘秀花 ； 张卫 ； 【机构】 华东师范大学计算机科学系网络实验室 ； 山东省潍坊市机械工业学校 ；	应用层组播 ； 远程教学 ； MRTP ； 学生机端/教师机端 ； 远程授课直播 ；	远程同步讲授型教学模式对网络带宽、传输时延等指标的要求较高,约束了教学系统的规模。本文结合应用层组播技术的特点,提出了基于应用层组播的远程授课系统的设计,阐述了系统总体框架的设计过程。该系统可以通过教师授课直播室用相对有限的网络资源完成屏幕演示、现场直播、文件管理/下载、消息广播等四个方面的远程教学应用。	2008年12期_基于应用层组播的远程授课直播系统的设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812004&dbname=CJFD0608
基于嵌入式Linux的无线自组织网络实验床设计	计算机系统应用	2008	2008年12期	【作者】 张美平 ； 许力 ； 沈金波 ； 【机构】 福建师范大学网络安全与密码技术实验室 ；	嵌入式 ； 无线自组织网络 ； 实验床 ；	目前对于无线自组织网络的研究一般使用模拟仿真软件如NS-2、OPNET等来进行实验。仿真模拟的方法较适合路由协议算法设计方面的研究;而对于一些网络安全、入侵检测、应用层协议等一些需要实际数据传输与实际算法运行的研究,使用仿真软件就显得力不从心。本文提出了一种应用Xscale处理器与嵌入式Linux、开源路由软件aodv-uu,设计并实现了一个基于IEEE 802.11b的无线自组织网络实验床系统。该实验床能大大促进无线自组织网络的研究工作。	2008年12期_基于嵌入式Linux的无线自组织网络实验床设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812005&dbname=CJFD0608
基于J2ME的手机名片备份系统设计与实现	计算机系统应用	2008	2008年12期	【作者】 刘云鹏 ； 章中引 ； 李瑾 ； 【机构】 浙江万里学院计算机与信息学院 ； 浙江万里学院商学院 ；	J2ME ； J2EE ； 手机名片 ； 备份系统 ；	互联网与手机应用相结合逐步成为了网络发展的新趋势,在这种新趋势下,人们希望利用网络来进行备份手机中的名片信息(即联系人信息)。本文在分析了当前市场上手机名片备份软件的弊端后,提出一种客户端基于J2ME、整个体系架构为轻型J2EE结构的手机名片备份系统,经过对手机模拟器和N70、N73、N95、MOTO E6等真实机型的测试,可以方便有效的对手机名片进行备份和恢复,有很强的实用性。	2008年12期_基于J2ME的手机名片备份系统设计与实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812006&dbname=CJFD0608
基于图形化配电网设备信息管理	计算机系统应用	2008	2008年12期	【作者】 赵水英 ； 孙旭霞 ； 李生民 ； 【机构】 西安理工大学自动化与信息工程学院 ；	配电网 ； 图形化 ； OOP技术 ； 数据库 ； 信息管理 ；	本文采用OOP技术,结合重用技术,实现图形平台与数据管理系统的无缝结合,进而达到了图形化配电网信息管理的目的。通过合理的编号将图形平台与数据管理系统结合达到了图形与数据信息的一体化效果。系统能够准确描述配电网的结构,并将配电网络中各个设备的动态运行状态直观地反映在计算机上,便于用户后续管理与操作;在运行图中,能够对设备进行管理、操作与模拟运行,还能进行用户供电可靠性指标计算。通过实际应用验证了本系统功能完善、交互性强、计算准确,同时具有操作可靠、灵活、便捷等特点。	2008年12期_基于图形化配电网设备信息管理.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812007&dbname=CJFD0608
基于常见问题集的OTC问答系统的设计与实现	计算机系统应用	2008	2008年12期	【作者】 樊康新 ； 【机构】 南通大学计算机科学与技术学院 ；	问答系统 ； 常见问题集 ； 语义相似度 ； OTC ；	为帮助人们合理选择和安全使用OTC药品,设计并实现了一个基于FAQ的OTC问答系统。描述了该系统的工作流程和系统结构。详细阐述了系统实现的关键技术,包括问句特征向量的提取、基于倒排索引的查找算法、根据用户问题建立候选问题集和基于知网的语义相似度计算等。运行结果表明,对于有关OTC的常问问题和普遍性问题,该系统具有很高的准确率。	2008年12期_基于常见问题集的OTC问答系统的设计与实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812008&dbname=CJFD0608
情景感知数据挖掘中隐私泄露限制方法探讨	计算机系统应用	2008	2008年12期	【作者】 李刚 ； 尹涛 ； 李海强 ； 孟霞 ； 张芸 ； 【机构】 北京邮电大学经济管理学院 ；	情景感知 ； 隐私泄露 ； 信息揭示理论 ； 随机化 ；	作为未来移动电子商务的重要应用——情景感知,其通过对于海量的客户相关数据进行数据挖掘,并对用户的行为模型进行判断,进而为用户提供先知先觉的便捷服务。然而在情景感知为我们未来的生活带来无限便利的同时,也使得用户个人隐私面临巨大的泄露危险。本文对于数据挖掘中的隐私泄露给出了基于概率论的定义,并且依据该定义对如何判定和限制用户的隐私泄露进行了探讨,最后给出了"放大法"对于隐私泄露进行有效的限制。	2008年12期_情景感知数据挖掘中隐私泄露限制方法探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812009&dbname=CJFD0608
基于RMS查询分片调度的移动数据库同步研究	计算机系统应用	2008	2008年12期	【作者】 刘巅 ； 尧飘海 ； 张云华 ； 【机构】 浙江理工大学信息与电子学院 ；	移动数据库 ； 数据同步 ； 事务 ； 冲突检测 ； 分片 ； RMS ；	针对开发移动设备应用程序的各种受限性和对第三方移动数据库的依赖性,本文提出基于RMS查询分片调度的移动数据库同步复制机制,并以杭州地区电力负荷移动查询系统为例,重点分析了该机制中的冲突检测及消解策略,并给出具体的实现算法,同时以事务结果集的方式进行同步处理,为以RMS作为移动数据库的数据同步机制提供了一套可行的解决方案。	2008年12期_基于RMS查询分片调度的移动数据库同步研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812010&dbname=CJFD0608
利用双标记的IP包定位方法	计算机系统应用	2008	2008年12期	【作者】 李宇波 ； 范冰冰 ； 【机构】 华南师范大学计算机学院 ；	IP跟踪 ； 双标记 ； IP定位 ； 计算机网络攻击 ；	当前IP跟踪技术尚处于比较落后的阶段,对一些复杂的攻击无法实现有效定位。文章提出一种新的利用双标记的IP包定位方法,该方法有效地回避了现有TCP/IP协议存在的缺陷,允许IP包的获得者直接查看包中的信息定位其起始地址,而无论其源地址字段是否被伪造。而且由于该方法原理简单,不修改现有网络协议、无需大型硬件设备的投入,因此适用性广、可行性大。	2008年12期_利用双标记的IP包定位方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200812011&dbname=CJFD0608
