title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
必由之路再认识	信息化建设	2012	2012年12期	【作者】 本刊评论员 ；	农业现代化 ； 中国特色 ； 民族复兴 ； 粗放经济 ； 全球金融危机 ； 成果应用 ； 经济发展 ； 生存之路 ； 不等于 ； 信息技术 ；	<正>党的十八大报告提出,"坚持走中国特色新型工业化、信息化、城镇化、农业现代化道路,推动信息化和工业化的深度融合、工业化和城镇化良性互动、城镇化和农业现代化相互协调,促进工业化、信息化、城镇化、农业现代化同步发展。"这"新四化"发展战略,前所未有地强调了信息化的地位与作用,使我们更加深	2012年12期_必由之路再认识.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212000&dbname=CJFDLAST2013
名刊摘要	信息化建设	2012	2012年12期		网络舆情 ； 危害国家安全 ； 监督形式 ； 社会情绪 ； 非理性 ； 舆论场 ； 第四代移动通信 ； 信息传递 ； 治理能力 ； 电信投资 ；	<正>网络舆情是最真实的民意综合体网络以无可比拟的公开性、透明性、快捷性、广泛性,成为新的社会监督形式和反腐败斗争的重要力量。由于网络传播的无限性和网络舆情的易变性和非稳定性,往往容易使个人的偏激言论扩散为非理性的社会情绪,直接影响社会稳定,损害党和政府形象,甚至危害国家安全。	2012年12期_名刊摘要.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212002&dbname=CJFDLAST2013
权威说法	信息化建设	2012	2012年12期		信息技术产业 ； 信息基础设施 ； 产业变革 ； 工业和信息化部 ； 信息网络 ； 信息消费 ； 物联网 ； 地理信息 ； 局副 ； 亚太区域 ；	<正>"建设现代信息技术产业体系"——工业和信息化部部长苗圩近日,工业和信息化部部长苗圩撰文认为:党的十八大提出,建设下一代信息基础设施,发展现代信息技术产业体系,健全信息安全保障体系,推进信息网络技术广泛运用。这是党中央准确把握全球新一轮技术和产业变革趋势,在我国进入全面建成小康社会决定性阶段提出的重要任务。	2012年12期_权威说法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212003&dbname=CJFDLAST2013
信息化在线	信息化建设	2012	2012年12期		信息化专家 ； 政务信息化 ； 网站数量 ； 门户网 ； 上网用户 ； 锐捷网络 ； 网站总数 ； 高新民 ； 网络问政 ； 中国通信 ；	<正>延伸阅读,请关注中国政务信息化网(www.chinaeg.gov.cn)宏观【试点】我国将开展国家智慧城市试点工作住建部12月4日发布通知表示,我国将开展国家智慧城市试点工作,目前,2012年度申报试点工作已经启动。根据通知,申报国家智慧城市试点应具备以下条件:智慧城市建设工作已列入当地国民经济和社会发展"十二五"规划或相关专	2012年12期_信息化在线.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212004&dbname=CJFDLAST2013
创业 创新 创造——宁波北仑电子政务十年回眸	信息化建设	2012	2012年12期		电子政务 ； 门户网 ； 宁波北仑 ； 网站建设 ； 县区级 ； 弹指一挥 ； 政务信息化 ； 十年 ； 民计民生 ； 上层结构 ；	<正>至2013年1月1日,北仑之窗——党政门户网站良好运行已达整整十年。十年,茫茫历史长河的弹指一挥之间,却也是北仑信息化建设发展的芬芳华章。一家县区级政府网站,能够在众多同级网站中脱颖而出,连年获取国家、省市级荣誉,其在网站建设的细节品质,以及精心设置人性化服务流程等等,无疑给我们大家做出了先行者的榜样。	2012年12期_创业+创新+创造——宁波北仑电子政务十年回眸.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212005&dbname=CJFDLAST2013
统筹规划建设 促进高效发展——宁波市北仑区电子政务建设纪实	信息化建设	2012	2012年12期	【作者】 林波 ；	电子政务 ； 北仑区 ； 海域面积 ； 陆域面积 ； 实际利用外资额 ； 一般预算收入 ； 工业总产值 ； 投资量 ； 门户网 ； 户籍人口 ；	<正>北仑,1984年建区,陆域面积599平方公里,海域面积246平方公里,下辖6街道2镇1乡,现有户籍人口35.3万。以占宁波市6.5%的人口和6%的面积,创造了全市约1/6的生产总值和固定资产投资量,约1/5的财政一般预算收入,约1/4的工业总产值,约1/3的实际利用外资额、外贸进出口总额和规上工业利润。	2012年12期_统筹规划建设+促进高效发展——宁波市北仑区电子政务建设纪实.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212006&dbname=CJFDLAST2013
让招投标“E”路阳光——记宁波北仑公共资源交易网上服务管理系统	信息化建设	2012	2012年12期	【作者】 本刊记者 ；	服务管理系统 ； 公共资源交易 ； 业务流程 ； 项目招投标 ； 协议采购 ； 土地交易 ； 宁波北仑 ； 评价系统 ； 综合查询 ； 业务网 ；	<正>2011年8月1日,建设工程项目招投标业务网上服务管理系统成功上线;2011年11月30日,政府协议采购电子反拍系统成功上线;2012年5月1日,土地交易、产权交易和建设工程直接发包成功上线……历时十个月,北仑完成了华丽转身。不仅成功地将公共资源交易项目"搬"到网上,原本复杂的业务流程,如今只需动	2012年12期_让招投标“E”路阳光——记宁波北仑公共资源交易网上服务管理系统.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212007&dbname=CJFDLAST2013
北仑:电子政务统筹发展的实践探索	信息化建设	2012	2012年12期	【作者】 本刊记者 ；	电子政务 ； 北仑 ； 政民互动 ； 信息孤岛现象 ； 公共服务领域 ； 信息办 ； 数据平台 ； 门户网 ； 工作流系统 ； 数据交换 ；	<正>本次采访中,记者一行跟北仑信息化建设的管理者们做了深入交流,针对北仑电子政务的统筹发展,也跟北仑区电子政务办公室做了一些新的探讨。记者:正如找不足就是觅起点,谈过失就是谋发展,作为北仑信息化建设的亲历者,您认为北仑的信息化发展还有哪些方面的不足需要改进?	2012年12期_北仑:电子政务统筹发展的实践探索.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212008&dbname=CJFDLAST2013
“共建”且能“共享”——谈浙江智慧城市建设的原则及作用	信息化建设	2012	2012年12期	【作者】 吴君青 ； 【机构】 浙江省经济与信息化委员会 ；	城市建设 ； 信息资源优化 ； 部门利益 ； 一键通 ； 一号通 ； 电子政务 ； 信息服务企业 ； 协同机制 ； 装备产业 ； 谋篇布局 ；	<正>智慧城市建设中的"共建共享"实质上是一个对信息资源优化配置的过程,通俗点讲就是要求大家一块出资源、一块建设、一块交换并一块从中获得好处。我们都赞同要建设智慧城市,也都明白这绝非易事。智慧城市建设是一项长期、复杂的工程,无法一蹴而就,更不可能靠单打独斗实现。因此,要摒弃以往狭隘的部门利益观,以更兼容、平等、共赢的理念去谋篇布局、分工落实,按照	2012年12期_“共建”且能“共享”——谈浙江智慧城市建设的原则及作用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212009&dbname=CJFDLAST2013
杭州市民卡，越来越“智慧”	信息化建设	2012	2012年12期	【作者】 郑玲微 ；	城市建设 ； 社保卡 ； 支付功能 ； 城市一卡通 ； 小额支付 ； 餐饮娱乐 ； 特约商户 ； 就医流程 ； 卡特 ； 郑玲 ；	<正>生活在杭州的人,对市民卡一定不陌生。它可能是除了身份证以外普及率最高的一张卡,已覆盖杭州主城区16周岁以上户籍市民的95%以上,并逐步向"一卡通"迈进,变得越来越"智慧"。杭州市民卡,是浙江智慧城市建设的典型成果,也是杭州市民"智慧"生活的一大保障。	2012年12期_杭州市民卡，越来越“智慧”.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS201212010&dbname=CJFDLAST2013
