title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
两化融合:工业转型升级“加速器”	信息系统工程	2012	2012年12期		工业转型 ； 工业和信息化部 ； 顶层设计 ； 全国政协 ； “加速器” ； 副主任 ； 工业大国 ； 现代产业体系 ； 战略支点 ； 结构优化调整 ；	<正>2012年11月17日,全国政协经济委员会副主任、工业和信息化部原部长李毅中在"2012财新峰会"上表示,目前中国信息化和工业化(简称"两化")深度融合,改造提升传统产业,面临严峻挑战,需要加强顶层设计。应该加快相关法律法规和配套政策出台,发挥政府的引导、指导、组织和推动作用,制定规划、计划,建立协调机制,	2012年12期_两化融合:工业转型升级“加速器”.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212001&dbname=CJFDLAST2013
两化融合装备“宁波智造”	信息系统工程	2012	2012年12期		工业转型 ； 工业企业 ； 工业经济 ； 应用广度 ； 塑机 ； 促进作用 ； 机械制造商 ； 信息技术 ； 核心业务流程 ； 重点项目 ；	<正>近年来,宁波市工业企业的信息化应用广度和深度不断加强,"两化融合"工作取得显著成效。信息化发展迅速,信息技术对工业经济的发展起到了重要的推动作用,对宁波市工业转型升级的支撑和促进作用日益显现。宁波市对两化融合一直很重视。2001年,市政府即成立了宁波市企业信息化工作	2012年12期_两化融合装备“宁波智造”.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212002&dbname=CJFDLAST2013
青岛实施“11162”工程推进“两化”深度融合	信息系统工程	2012	2012年12期		生物医药 ； 海工 ； 信息技术 ； 功能区建设 ； 中小企业应用 ； 密封件 ； 信息服务业 ； 精益制造 ； 网上贸易 ； 示范园区 ；	<正>近日,青岛市出台《关于推进信息化与工业化深度融合的实施意见》提出,"十二五"期间,重点围绕"7+6"产业(家电电子、石化化工、汽车机车、船舶海工、纺织服装、食品饮料、机械钢铁七大产业和信息技术、高端装备制造、新材料、新能源、生物医药、节能环保六个新兴产业),面向区域、行业、企业三个层面,	2012年12期_青岛实施“11162”工程推进“两化”深度融合.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212003&dbname=CJFDLAST2013
“两化”深度融合催生沈阳新经济增长点	信息系统工程	2012	2012年12期		沈阳机床集团 ； 新经济增长点 ； 翻译软件 ； 自主知识产权 ； 工业服务 ； 工业转型 ； 机床企业 ； 沈鼓集团 ； 北方重工 ； 云制造 ；	<正>在2012年6月底举行的全国信息化与工业化融合成果展览会上,沈阳机床集团和格微软件公司的核心技术赢得惊叹:前者为数控机床装上"国产大脑",正由传统制造商向工业服务商转型;后者则凭借具有自主知识产权的国内第一条翻译软件生产线,打造集产品研发、	2012年12期_“两化”深度融合催生沈阳新经济增长点.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212004&dbname=CJFDLAST2013
网络时代的党代会	信息系统工程	2012	2012年12期		信息通信业 ； 中国特色 ； 信息安全 ； 信息化推进 ； 信息技术 ； 自媒体 ； 十年 ； 浙江省委常委 ； 农业现代化 ； 舆论场 ；	胡锦涛总书记2012年11月8日,党的十八大所作的报告中,有19处表述提及信息、信息化、信息网络、信息技术与信息安全。更重要的是,报告明确把"信息化水平大幅提升"纳入全面建成小康社会的目标之一,并提出了走中国特色新型工业化、信息化、城镇化、农业现代化道路,促进这"四化"同步发展。信息化本身已不再只是一种手段,而成为发展的目标和路径。这必将对今后十年我国信息化推进和信息通信业发展产生重大而深远的影响。	2012年12期_网络时代的党代会.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212005&dbname=CJFDLAST2013
专家谈:十八大报告中推进生态文明建设	信息系统工程	2012	2012年12期		生态文明 ； 资源约束 ； 生态系统退化 ； 政治建设 ； 低碳发展 ； 绿色发展 ； 资源利用方式 ； 发展评价 ； 党委常委 ； 资源节约 ；	<正>十八大将"大力推进生态文明建设"单列一章,党的十八大报告提出,面对资源约束趋紧、环境污染严重、生态系统退化的严峻形势,必须树立尊重自然、顺应自然、保护自然的生态文明理念,把生态文明建设放在突出地位,融入经济建设、政治建设、文化建设、社会建设各方面和全过程,努力建设美丽中国,实现中华民族永续发展。	2012年12期_专家谈:十八大报告中推进生态文明建设.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212006&dbname=CJFDLAST2013
十年来最受关注的新职业	信息系统工程	2012	2012年12期		强国论坛 ； 人民网 ； 北京市急救中心 ； 个人需求 ； 科技发展 ； 产业结构 ； 游戏策划 ； 舆情分析 ； 游戏开发商 ； 新闻点 ；	随着我国社会的快速发展、产业结构的升级换代、科技发展的日新月异、就业压力的不断倒逼以及对社会分工欠缺的必要补充和个人需求的多元化,五花八门的新行当自然应运而生,多姿多彩的新职业也随之闪亮登场。旧职业的消失、新职业的成长,改变着职场的生活,也记录着时代的变迁。人民网强国论坛特策划:喜迎十八大十年来最受关注的新职业系列访谈,邀请全国各地的新职业代表做客人民网强国论坛,畅谈新职业,分享新经验。	2012年12期_十年来最受关注的新职业.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212007&dbname=CJFDLAST2013
一种程序设计形式化模型	信息系统工程	2012	2012年12期	【作者】 穆学刚 ； 张曙光 ； 董金明 ； 江华伟 ； 【机构】 安阳师范学院人文管理学院数学与信息工程系 ；	程序设计 ； 形式化模型 ； 空间 ； 算子 ；	本文提出程序设计形式化模型的基本问题,针对第一个问题,引入泛函分析的空间和算子理论,基于程序设计过程,建立了一种程序设计的形式化模型,包括代码基础、可视化、对象、控制结构和程序空间,分成为基础程序设计部分和形式化部分,旨在建立程序设计基础形式化概念体系。在理论和实践上具有一定的基础意义。	2012年12期_一种程序设计形式化模型.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212008&dbname=CJFDLAST2013
宽带随机信号在多基地通信的应用	信息系统工程	2012	2012年12期	【作者】 季晓燕 ； 【机构】 华中光电技术研究所光电国家实验室 ；	宽带 ； 伪随机 ； 声纳 ；	本文现有某型声纳的两种主动信号形式(单频脉冲信号和双曲调频信号)的试验分析,并引入新的伪随机信号,以证明基于m序列的宽带主动声纳信号形式在多基地主动声纳原理上是可行的。	2012年12期_宽带随机信号在多基地通信的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212009&dbname=CJFDLAST2013
历史数据服务在新系统中的运用	信息系统工程	2012	2012年12期	【作者】 李彤彤 ； 【机构】 安庆供电公司电力调控中心 ；	C/S/S结构 ； 商用数据库 ； 数据库状态监视 ；	介绍在新一代电力调度自动化系统的统一支撑平台中,历史数据服务作为数据库管理系统的重要组成部分,扮演着重要的角色。这些服务和其它各类服务之间的一个最重要的区别就是它们需要直接和商用数据库进行联接并交换数据,这些服务的运行往往需要数据库(ORACLE、SYBASE等)客户端动态库支持。	2012年12期_历史数据服务在新系统中的运用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXXT201212010&dbname=CJFDLAST2013
