title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
投资持续增长 市场前景光明——2001年中国重点行业IT应用市场状况	中国计算机用户	2001	2001年Z3期	【作者】 罗文 ； 【机构】 赛迪资讯顾问有限公司 执行总裁 ；	市场状况 ； IT应用 ； 商用市场 ； 持续增长 ； 宽带网络建设 ； 计算机市场 ； 网络安全产品 ； 赛迪顾问 ； 电子政务 ； 应用系统 ；	<正> 政府、教育以及商用市场是2001年中国计算机市场最主要的推动力量。尽管网络经济主体继续萧条,但基于互联网的应用却逐步深入,特别是随着“信息化带动工业化”战略的进一步实施,中国各行业与企业信息化建设在更广阔的区域展开,促进了更多的行业与企业在信息化建设方面的力度明显加大。2001年宽带网络建设、互联网普及应用以及电子政务、电子商务进程在不断提速,同时重点行业网络建设规模继续扩大,应用系统进一步完善,对信息技术	2001年Z3期_投资持续增长+市场前景光明——2001年中国重点行业IT应用市场状况.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3000&dbname=CJFD9902
前景仍然辉煌 风景这边尚好——2001年中国计算机市场回顾与展望	中国计算机用户	2001	2001年Z3期	【作者】 黄涌 ； 【机构】 赛迪资讯顾问有限公司 副总裁 ；	计算机市场 ； 赛迪顾问 ； 全球经济环境 ； 世界经济 ； 股票市场 ； 硬件产品 ； 商用市场 ； 计算机产品 ； 上游厂商 ； 笔记本电脑 ；	<正> 2001年,世界经济延续2000年下半年以来的下滑趋势:美国经济增速减缓并在“9·11”后陷入衰退,欧洲经济增长放缓,日本经济持续低迷,全球经济蒙上了厚重的阴影。网络经济泡沫尚未完全清除,全球经济环境恶化导致IT产业与市场遭遇寒流——全球PC销售量首次出现负增长;股票下跌、	2001年Z3期_前景仍然辉煌+风景这边尚好——2001年中国计算机市场回顾与展望.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3001&dbname=CJFD9902
民航:抓住机遇 迎接挑战	中国计算机用户	2001	2001年Z3期	【作者】 吕宗平 ； 【机构】 民航总局规划司信息化办公室 主任 ；	电子客票 ； 旅游产品 ； 分销系统 ； 框架建设 ； 在线支付 ； 可靠性提高 ； 网络传输带宽 ； 离港 ； 信息系统 ； 航空运输成本 ；	<正> 一、民航信息化建设现状 今年是“十五”计划的开局之年,民航信息化进程加快,信息化作用日益显现。 今年,全球分销系统(GDS)已完成系统框架建设目标。电子商务健康发展,网上航空旅游产品丰富,部分城市实现在线支付。商务通信网络节点改造完成,网络传输带宽增加,可靠性提高。电子客票试点工作进展	2001年Z3期_民航:抓住机遇+迎接挑战.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3002&dbname=CJFD9902
难忘的回忆	中国计算机用户	2001	2001年Z3期	【作者】 贾浩宇 ； 【机构】 张家口农行银行卡部 ；	蓦然回首 ； 客服中心 ； 客户服务中心 ； 其它金融机构 ； 承德地区 ； 用户需求 ； 日市 ； 两台 ；	<正> 岁月的脚步,带走了无数如烟的往事。然而,蓦然回首,却总能感受到心灵港湾里的那一份份暖意。是真诚,映刻在记忆的深处,更打动了我的心扉。 我是张家口市农行银行卡部的工作人员,主要负责银行卡业务,平时与不少IT公司都有交往。和实达人的接触是从平凡的交往中开始的…… 记得有一次,我市宣传区农行的同事们经过不懈的努力,终于和交通部门达成了以卡代收养路费和交通罚没款的业务意向。因而需要我们为交通部门的征收网点安装POS代收费系统。然而就在离缴费只差2天的时候,有3台POS设备出现了故障,需要马上维修。而当时,我们的前期准备工作已经做得差不多了,缴费卡也	2001年Z3期_难忘的回忆.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3003&dbname=CJFD9902
社保:以务实起步	中国计算机用户	2001	2001年Z3期	【作者】 王东岩 ； 【机构】 劳动和社会保障部信息中心 主任 ；	中国社会保障 ； 应用软件 ； 数据分布 ； 网络安全 ； 应用系统 ； 软件系统 ； 劳动力市场 ； 市场信息网络 ； 资源数据库 ； 社会保障卡 ；	<正> 一个外国社会保险信息系统专家曾说:“中国社会保障工作不具备信息化的条件。”在世界第一的人口大国,要实现劳动和社会保障工作的信息化,其难度可想而知。可是,再难也要起步。几年来,我们做了规划、制定了主体标准,开发	2001年Z3期_社保:以务实起步.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3004&dbname=CJFD9902
证券:向网络延伸	中国计算机用户	2001	2001年Z3期	【作者】 白永明 ； 【机构】 中国证监会信息中心计算管理处 处长 ；	办公自动化系统 ； 业务信息系统 ； 行业技术标准 ； 信息资源管理 ； 系统安全 ； 行业系统 ； 监管信息系统 ； 办公系统 ； 入侵检测系统 ； 信息安全 ；	<正> 中国证券监督管理委员会是中国证券期货行业的最高监管机构,在全国共有三十多个派出机构。证监会信息中心的基本职能是监管信息资源管理、技术监管、系统规划与推动实施,负责总体控制和建设证监会系统内部的办公自动化系统、网络系统和监管业务信息系统;制定行业技术标准和	2001年Z3期_证券:向网络延伸.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3005&dbname=CJFD9902
商业银行:新世纪全面迈进	中国计算机用户	2001	2001年Z3期	【作者】 王健 ； 【机构】 北京商业银行科技部 总经理 ；	银行信息化 ； 信贷管理 ； 电话银行 ； 年终决算 ； 第一年 ； 现代银行业 ； 灾难备份 ； 客户服务中心 ； 银证通 ； 电子银行 ；	<正> 新世纪的第一年即将过去,在这岁尾时刻,回头看看走过的路,不仅感触颇多。2001年,北京市商业银行信息化建设工作又向前迈进了一步,为	2001年Z3期_商业银行:新世纪全面迈进.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3006&dbname=CJFD9902
进出口银行良性运转	中国计算机用户	2001	2001年Z3期	【作者】 王云生 ； 【机构】 进出口银行信息科技部 副总经理 ；	进出口银行 ； 良性运转 ； 应用工程 ； 综合业务系统 ； 业务管理 ； 核心业务系统 ； 前台业务 ； 结算系统 ； 信息技术公司 ； 银行业务 ；	<正> 在近几年的不断建设和发展中,我行已初步建立开展电子化工作所需的物质基础,现有小型机系统7台,服务器26台,微机800多台及其他电子设备等,设备性能大幅度提高,设备的利用率也明显提高,全行广域网建成投产后,总行、分行和国内各代表处之间的通讯基本保持良好的运行状态。 我行组织实施了一些重要的电子化应用工程项目,使我行电子化基础建设有了突飞猛进的发展,并取得了	2001年Z3期_进出口银行良性运转.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3007&dbname=CJFD9902
农行:业务大幅增长	中国计算机用户	2001	2001年Z3期	【作者】 曹谷崖 ； 【机构】 中国农业银行科技部 总经理 ；	电子化建设 ； 人民银行 ； 发卡行 ； 网络交换 ； 信贷管理 ； 第一年 ； 党委领导 ； 综合应用系统 ； 综合竞争实力 ； 数据中心 ；	<正> 一、2001电子化建设情况 2001年是农业银行实施电子化“十五”规划的第一年,也是我行电子化建设承上启下关键性的一年。一年来,在行党委领导下,经过全行上下和科技部门的共同努力,全行电子化建设收效显著,为我行新世纪电子化建设夯实了基础。具体表现在:	2001年Z3期_农行:业务大幅增长.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3008&dbname=CJFD9902
商业:借信息化腾飞	中国计算机用户	2001	2001年Z3期	【作者】 王耀 ； 【机构】 中华全国商业信息中心 总工 ；	信息系统模型 ； 系统功能需求 ； 流程规范 ； 商业需求 ； 销售分析 ； 决策支持系统 ； 财务管理系统 ； 可扩充性 ； 商业经营 ； 零售商业 ；	<正> 1、2001年信息化建设所取得的成果 制定了零售企业经营管理模式规范、零售企业信息系统功能需求规范、商业作业流程与数据流程规范及票证单据规范以及商业需求的形式化描述和商业信息系统模型等;取得的成果包括:《单体零售企业经营管理模式规范》《连	2001年Z3期_商业:借信息化腾飞.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3009&dbname=CJFD9902
建材:凭信息化跨跃	中国计算机用户	2001	2001年Z3期	【作者】 张广沛 ； 【机构】 国家建材局信息中心 副主任 ；	建材工业 ； 信息网络平台 ； 信息系统 ； 信息技术改造 ； 跨越式发展 ； 应用系统 ； 计算机控制 ； 应用软件 ； 中国建材 ； 水泥制品 ；	<正> 2001年建材行业信息化建设的基本思路是:认真学习和贯彻党中央国务院关于“以信息化带动工业化,实现国民经济跨越式发展”的方针,重点抓好行业信息资源开发利用、信息网络平台建设,以及充分利用电子信息技术改造传统产业等	2001年Z3期_建材:凭信息化跨跃.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3010&dbname=CJFD9902
建设发展 信息打底	中国计算机用户	2001	2001年Z3期	【机构】 建设部信息中心 ；	工程建设 ； 计算机管理 ； 城市规划管理 ； 公房出售 ； 房产档案 ； 房产管理 ； 户籍档案 ； 工程质量监管 ； 质量检验 ； 私人产权 ；	<正> 我国的城镇建设、工程建设和住房建设正处于历史上发展最快、规模最大的时期。面对建设系统当前的局面,必须抓好信息化建设。要通过信息化建设,促进各项工作的公开、公正和公平,增加	2001年Z3期_建设发展+信息打底.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3011&dbname=CJFD9902
水利通畅 信息相助	中国计算机用户	2001	2001年Z3期	【作者】 张建云 ； 【机构】 水利部水利信息中心 总工 ；	水利现代化 ； 体制改革创新 ； 世界信息技术 ； 跨越式发展 ； 十五届五中全会 ； 战略目标 ； 水利信息化 ； 可持续发展水利 ； 治水方针 ； 全国水利系统 ；	<正> 党的十五届五中全会作出了加快国民经济和社会信息化的决定,提出了“要把推进国民经济和社会信息化放在优先位置。顺应世界信息技术的发展,面向市场需求,推进体制改革创新,努力实现我国信息产业的跨越式发展”的战略目标和任务。结合新世纪水利工作所面临的形势和任务,水利部党	2001年Z3期_水利通畅+信息相助.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3012&dbname=CJFD9902
抓住机遇 深化改革	中国计算机用户	2001	2001年Z3期	【作者】 孙大光 ； 【机构】 国家体育总局体育信息中心 主任 ；	奥运争光计划 ； 体育事业 ； “科技奥运” ； 中国体育 ； 办公自动化系统 ； 无纸办公 ； 体育系统 ； 异构信息 ； 业务管理 ； 奥运会组委会 ；	<正> 我国加入WTO、北京申奥成功给我国体育事业带来了极好的发展机遇,同时也使我国体育事业面临严峻挑战。《奥运争光计划》	2001年Z3期_抓住机遇+深化改革.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3013&dbname=CJFD9902
应用驱动 重点实施	中国计算机用户	2001	2001年Z3期	【作者】 漆永新 ； 【机构】 中国钢铁工业协会信息部 主任 ；	技术驱动 ； 行业领导 ； 钢铁企业 ； 钢铁工业 ； 技术人员 ； 信息化项目 ； 综合营销 ； 决策需要 ； 综合管理系统 ； 经理人员 ；	<正> 回顾:从技术驱动到应用驱动 2001年最大的特点就是信息化已经引起了政府部门和行业领导的真正重视。 在过去相当长的时间里,信息化往往是技术驱动,也就是有了新技术之后,技术人员才设法进行新技术的推	2001年Z3期_应用驱动+重点实施.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2001Z3014&dbname=CJFD9902
