面向对象数据库技术的产生与发展		计算机时代	1997	1997年12期	<正>一、引言 近年来,数据库技术的应用领域不断拓展,传统的关系数据库(RDB)技术面对许多新的应用需求,如计算机辅助设计与制造(CAD/CAM)、软件工程(CASE)、超大规模集成电路(VLSI)设计、计算机体系结构、多媒体设计、工程设计、地理信息系统(GIS)等领域,则显得无能为力。这些语义丰富的应用表现为:数据密集、复杂的数据结构和类型、多媒体数据、长事务、版本约束和模式演进等,所以被称为非常规应用。传统的关系数据库由于自身的诸多缺陷而无法满足这些应用的需求。随着数据库技术的发展和各种非常规应用对数据库要求的不断提高,把面向对象(Object-Oriented,OO)的方法同数据库技术相结合而产生的用以支持非常规应用领域的新一代数据库系统一面向对象数据库系统(Object-Oriented Data Base System),已成为当前数据库最有前途和生命力的发展方向之一。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199712004&dbname=CJFD9498
在OOA中如何确定对象及如何用对象建模		计算机时代	1994	1994年02期	面向对象技术（Ｏｂｊｅｃｔ－ｏｒｉｅｎｔｅｄ）已成为九十年代系统分析和软件工程的核心技术，面向对象的系统分析ＯＯＡ（Ｏｂｊｅｃｔ－ｏｒｉｅｎｔｅｄＡｎａｌｙｓｉｓ）已经日益引起人们的重视和取得了一定进展，．然而在ＯＯＡ中如何确定对象及如何用对象建模却始终未获合理的解决，成了ＯＯＡ技术推行的瓶颈之所在。本文试图探索确定对象及用对象建模的若干实用规则，并以具体的案例予以说明，或许会对ＯＯＡ的使用者有所裨益。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS402.008&dbname=CJFD9498
怎样准备高级程序员、程序员资格（水平）考试		计算机时代	1995	1995年03期	怎样准备高级程序员、程序员资格（水平）考试周人杰计算机软件专业技术资格（水平）考试是获得计算机软件专业技术任职资格的唯一途径。为了配合考试的开展，人事部１９９１年４月５日审定通过了中国计算机软件考试中心编写的计算机软件专业技术资格和水平考试大纲，并由...	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS503.021&dbname=CJFD9498
计算机时代2004年总目录		计算机时代	2004	2004年12期	技术广角WAP技术及其在GPRS网上的实现1-1SQL多媒体及应用包(SQL/MM)1-4UML信息系统建模问题初探1-8网页可用性及其原则的理解1-10现代密码理论新动向2-1可穿戴计算机军事应用研究2-3软件能力成熟度模型CMM的探讨2-5用敏捷型开发方法延长软件的生命周期3-1浅谈生物认证技术—指纹识别3-3当前软件过程改进模型与标准的比较分析4-1多源空间数据融合分析技术4-4分形图像压缩编码技术介绍4-6小型分布式系统中进程同步的实现4-8加速体绘制技术研究5-1单点登录技术研究5-3组件式GIS的矢量图形系统架构研究与实现5-5蚁群算法的理论及其应用6-1Oracle基于磁盘竞争的	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200412019&dbname=CJFD0305
安全软件的持续风险管理模型(CRM)		计算机时代	2004	2004年11期	安全软件风险管理是对影响安全软件项目、过程或产品的风险进行评估和控制的过程。本文重点分析了美国SEI提出的持续风险管理模型(CRM),对CRM模型中的风险识别、风险分析、风险计划、风险跟踪和风险控制等环节的特性和管理方法进行了描述。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200411007&dbname=CJFD0305
软件设计师考试大纲的变化及复习重点		计算机时代	2004	2004年10期	本文阐述新旧版本的软件设计师考试大纲的变化,并针对考生的复习提出一些建议和意见。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200410007&dbname=CJFD0305
当前软件过程改进模型与标准的比较分析		计算机时代	2004	2004年04期	软件过程的管理和改进是当前软件工程实施中人们普遍关注的问题,它对软件质量的提高、完成软件开发的全过程和软件企业的发展起到了保障作用。本文着重介绍当前常用的软件过程改进模型,从发展历程、体系结构、模型特点和使用方面进行对比分析,并对几种方法的使用范围和模型的优缺点阐述了自己的观点。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200404000&dbname=CJFD0305
软件能力成熟度模型CMM的探讨		计算机时代	2004	2004年02期	本文首先对软件能力成熟度模型的起因、历史、发展及一些基本概念作了简单的介绍;然后对模型的结构、内容和各成熟度等级的行为特征进行了描述;最后,进行了相关总结。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200402002&dbname=CJFD0305
FrontPage在文档管理中的应用		计算机时代	2000	2000年12期	本文介绍如何利用 ＦｒｏｎｔＰａｇｅ ２０００建立一个单位文档管理库，充分利用ＦｒｏｎｔＰａｐｅ的超强链接功能，快速查询到自己所需的文档。以一技术文档库为例，该文档主要分软件工程研究、工业控制技术、铁路信号处理系统、现场总线技术、网络与信息系统几大模块，在每大块下是一些实际应用的项目实例，每一实例下就是我们所要查询的具体文档。 其步骤如下： １）建立文档分类框架，进入ＦｒｏｎｔＰａｇｅ，在“导航模式”下建立如图１所示的结构图。 ２）编辑文档库主页。在“文件夹模式”下双击ｉｎｄｅｘ．ｈｉｍ文件，即进入“网页模式”，选择“主题“命令，本文档库选择“旋涡”样式。点选“所选的网页”，这样该主题只套用目	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200012024&dbname=CJFD9902
手柄的市场与选购		计算机时代	2000	2000年12期	首先，我们来看—下手柄的分类。大多数情况下，手柄可以按照其形状和针对游戏的不同进行这样的分类： 第一类是普通手柄，也就是标准手柄。这类手柄在个人用户中的销量是最大的，而且它们的价格也是非常便宜的，一般都是１００元左右。 第二类是飞行游戏手柄。这类手柄的特点就是可以让玩家充分体验成为飞行员的快感，因此它们的外型也大都如同飞机的操纵杆一样：在一个十分宽大的底座上，安装着一个可以四面摆动的塑料转杆，在杆上安装着多则十数个．少则几个的按钮，虽然体积较大，但手感较普通手柄强了许多。而且绝大多数的手柄上还设计有回力机构，以便突出游戏的真实性。另外在最新上市的部分该类手柄中还加入了Ｇ·Ｆｏｒｃｅ技术，使得玩	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200012027&dbname=CJFD9902
