1	基于敏捷方法的软件测试过程管理研究	么建玉	北京邮电大学	2013-12-19	硕士	0	54
2	基于TDD与Agile方法的Emulator软件自动化测试系统的开发	张宸	电子科技大学	2015-10-01	硕士	0	27
3	敏捷管理方法在软件开发中的应用	李远	北京邮电大学	2008-06-05	硕士	5	370
4	敏捷方法在A公司ERP软件项目进度管理中的应用	张志君	北京理工大学	2015-12-01	硕士	0	34
5	基于敏捷与CMMI的安全关键软件过程管理应用研究	沈云凌	电子科技大学	2013-09-25	硕士	0	158
6	敏捷方法在通讯软件开发中的应用研究	陈亭华	东华大学	2014-05-01	硕士	0	115
7	敏捷方法在H公司软件开发中的应用	刘建学	西南交通大学	2012-10-01	硕士	3	158
8	基于看板管理方法的敏捷软件开发研究	宋易欣	北京邮电大学	2013-05-10	硕士	1	276
9	基于敏捷软件过程的软件测试研究与应用	焦鹏欢	西安建筑科技大学	2011-05-01	硕士	2	156
10	上海贝尔敏捷SCRUM模式下软件质量改进措施的研究	施拥军	复旦大学	2013-05-10	硕士	0	69
11	软件开发的敏捷管理方法应用研究	唐俐威	哈尔滨工业大学	2006-06-01	硕士	13	556
12	对日软件外包中关于敏捷开发的质量管理研究	徐永富	南京邮电大学	2013-11-05	硕士	0	28
13	敏捷开发模式下的手机软件质量管理研究	刘菲	北京邮电大学	2014-05-20	硕士	0	102
14	面向快速软件服务的个体敏捷过程的研究	赵波	上海交通大学	2006-12-01	硕士	0	161
15	敏捷开发中软件架构的设计与实践	王爱景	河南大学	2015-05-01	硕士	0	114
16	基于CMMI的软件敏捷开发研究	刘晓龙	长春理工大学	2013-03-01	硕士	0	140
17	敏捷开发过程中软件测试技术的分析与应用	董博	北京邮电大学	2010-03-01	硕士	2	347
18	一种基于敏捷开发的价值驱动软件测试模型构建	王磊	北京邮电大学	2014-01-02	硕士	0	53
19	面向敏捷开发的软件测试技术研究与应用	赵光星	湖南科技大学	2010-05-04	硕士	5	508
20	基于PHP语言的敏捷项目管理软件实现	蔡力可	华南理工大学	2011-06-03	硕士	4	128
21	湘邮科技敏捷型软件开发团队建设研究	郭立军	湖南大学	2013-09-17	硕士	0	66
22	敏捷方法在软件流水线开发时间管理中的应用	周志勤	复旦大学	2008-04-22	硕士	0	228
23	敏捷管理方法在软件开发中的应用研究	向佐龙	武汉理工大学	2007-04-01	硕士	6	292
24	基于敏捷方法的A公司软件项目需求管理应用研究	陈志刚	四川师范大学	2012-04-23	硕士	4	219
25	四川A公司软件过程敏捷管理研究	吕鹏	电子科技大学	2010-10-01	硕士	0	103
26	基于OKRAERP软件平台的敏捷开发研究	邓冠成	湖南大学	2010-04-23	硕士	0	42
27	软件敏捷开发过程Scrum中的缺陷管理方法研究及应用	田清	重庆大学	2010-10-01	硕士	4	362
28	基于敏捷开发模式下的软件测试的改进和应用	邹波	电子科技大学	2010-04-01	硕士	7	470
29	基于Agile的松耦合软件框架的研究与应用	刘吉林	太原理工大学	2007-05-01	硕士	2	58
30	敏捷软件开发的双迭代模型	谢东强	计算机应用与软件	2012-06-15	期刊	4	174
31	基于敏捷方法的软件外包人才培训研究	史健	苏州大学	2014-03-01	硕士	0	57
32	敏捷项目管理在FTTx网管软件开发中的应用研究	高辉	上海交通大学	2012-07-01	硕士	0	83
33	基于CMMI的敏捷软件改进过程研究	陈斌	中国海洋大学	2009-04-15	硕士	9	286
34	基于Scrum的软件缺陷管理系统设计与实现	于广辉	大连理工大学	2014-11-02	硕士	0	26
35	敏捷软件开发方法在学习辅助管理系统中的应用研究	李年锁	西南交通大学	2010-06-01	硕士	0	46
36	基于敏捷软件开发技术的血库管理系统设计与实现	罗圣松	厦门大学	2014-04-01	硕士	0	72
37	敏捷软件开发应用研究	范洪涛	西南交通大学	2009-06-01	硕士	12	554
38	直真科技软件开发与管理模式	陈广安	华东理工大学	2012-04-06	硕士	1	76
39	敏捷软件开发在新农村合作医疗系统中的研究与实现	肖武魁	中南林业科技大学	2010-06-01	硕士	0	103
40	敏捷集成测试在应用于嵌入式系统的敏捷软件开发中的研究与实现	曾亚令	电子科技大学	2010-03-01	硕士	1	103
41	银河总公司软件项目敏捷管理研究	王选祥	湖南大学	2008-06-16	硕士	1	66
42	敏捷方法在软件项目管理中的应用	刘谦	上海交通大学	2011-05-01	硕士	5	239
43	基于关键链的敏捷软件开发项目进度管理研究	胡丹	浙江工业大学	2013-10-01	硕士	1	114
44	敏捷开发在软件开发中的应用研究	彭志楠	电子科技大学	2009-04-01	硕士	9	837
45	基于关键链技术的敏捷软件开发项目管理研究	张雪娇	华中科技大学	2011-12-01	硕士	1	208
46	Scrum敏捷方法在湖南翼方软件项目管理中的应用研究	陈华恩	湖南大学	2014-09-05	硕士	0	25
47	敏捷开发中软件测试改进的实现	朱杉	北京交通大学	2009-06-01	硕士	6	403
48	基于敏捷建模方法的软件需求分析研究及应用	严亚琼	南昌大学	2014-05-21	硕士	0	111
49	软件开发中需求分析的探究及敏捷化需求分析的实现	郜冰	天津大学	2010-10-01	硕士	7	188
