1	基于软件工程专业课程体系的学风建设——以重庆理工大学软件工程系为例	张小川	软件导刊	2014-12-17 08:28	期刊		14	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=RJDK201412062&DbName=CJFDLAST2015&DbCode=CJFQ	从专业课程分层体系角度,提出高校学风建设新思路。以重庆理工大学软件工程系为例,通过建立专业导师、讲座、课外学习小组等教育媒介,树立学习标杆,持续对学生施加正面影响,激发学生的学习热情,提高学生的学习主动性。近年来的教学实践证明,该校学风建设取得初步成效,学风得到极大改善。	软件工程 ； 学风建设 ； 专业课程体系 ； Software Engineering ； Style Construction of Students ； Professional Curriculum System ；
2	软件工程专业《软件工程》课程教学的探索	李振宏	现代计算机(专业版)	2015-11-05	期刊		6	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS201531007&DbName=CJFDLAST2015&DbCode=CJFQ	《软件工程》课程是软件工程专业的主干课程,知识更新快、实践性强,其课程教学应适应此特点。提出加强面向对象软件工程教学和强化软件项目管理知识教学的观点,提出校内实践和校外实践相结合的课程实践方法,并对立体化教学和课程成绩的评定进行探讨。	软件工程 ； 面向对象软件工程 ； 校内实践 ； 校外实践 ； 立体化教学 ； Software Engineering ； Object Oriented Software Engineering ； on Campus Practice ； Off Campus Practice ； Stereoscopic Teaching ；
3	面向东盟软件工程专业人才培养模式的探讨——以广西民族大学软件工程专业为例	周永权	高教论坛	2011-11-20	期刊	3	138	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GGJY201111004&DbName=CJFD1112&DbCode=CJFQ	针对国际型软件工程人才培养问题,以广西民族大学软件工程专业为例,重点探讨面向东盟软件工程专业的人才培养模式,从人才培养的指导思想、教学模式、课程体系的设置、实训基地的建设等方面探索新的模式和方法,该方案在实践中将得到进一步的完善,使软件工程人才培养更具个性化、国际化,满足东盟国家用人单位对人才不断变化的需求。	软件工程 ； 培养模式 ； 东盟 ； software engineering ； training mode ； ASEAN ；
4	Software, Software Engineering and Software Engineering Research: Some Unconventional Thoughts	David Notkin	Journal of Computer Science & Technology	2009-03-15	期刊	8	425	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSKB200902003&DbName=CJFD0910&DbCode=CJFQ	Software engineering is broadly discussed as falling far short of expectations. Data and examples are used to justify how software itself is often poor, how the engineering of software leaves much to be desired, and how research in software engineering has not made enough progress to help overcome these weaknesses. However, these data and examples are presented and interpreted in ways that are arguably imbalanced. This imbalance, usually taken at face value, may be distracting the field from making significant progress towards improving the effective engineering of software, a goal the entire community shares. Research dichotomies, which tend to pit one approach against another, often subtly hint that there is a best way to engineer software or a best way to perform research on software. This, too, may be distracting the field from important classes of progress.	software engineering/general ； software engineering process/life cycle ； software engineering/general ； software engineering process/life cycle ；
5	From knowledge based software engineering to knowware based software engineering		Science in China(Series F:Information Sciences)	2008-06-15	期刊	8	194	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JFXG200806005&DbName=CJFD0608&DbCode=CJFQ	The first part of this paper reviews our efforts on knowledge-based software engi- neering, namely PROMIS, started from 1990s. The key point of PROMIS is to gen- erate applications automatically based on domain knowledge as well as software knowledge. That is featured by separating the development of domain knowledge from the development of software. But in PROMIS, we did not find an appropriate representation for the domain knowledge. Fortunately, in our recent work, we found such a carrier for knowledge modules, i.e. knowware. Knowware is a commercial- ized form of domain knowledge. This paper briefly introduces the basic definitions of knowware, knowledge middleware and knowware engineering. Three life circle models of knowware engineering and the design of corresponding knowware im- plementations are given. Finally we discuss application system automatic genera- tion and domain knowledge modeling on the J2EE platform, which combines the techniques of PROMIS, knowware and J2EE, and the development and deployment framework, i.e. PROMIS/KW**.	PROMIS ； knowledge based software engineering ； knowware ； J2EE ； PROMIS/KW** ； knowware based software engineering ； PROMIS ； knowledge based software engineering ； knowware ； J2EE ； PROMIS/KW** ； knowware based software engineering ；
6	软件工程方法的新进展:面向Agent的软件工程	嵇海明	计算机应用研究	2003-05-28	期刊	30	548	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSYJ200305002&DbName=CJFD0305&DbCode=CJFQ	面向Agent的软件工程方法是软件工程领域的一种新方法,与现有的开发方法相比,Agent具有较强能力对复杂软件系统中的活动实体进行高层抽象。分析了面向Agent软件工程方法对复杂软件系统建模的成功之处,并且对面向Agent的高层建模方法和基于面向对象方法的面向Agent的设计方法作了一些研究。	Agent ； 面向Agent的软件工程 ； AUML ； 设计模式 ； 组件 ； Agent ； AOSE(Agent-Oriented Software Engineering) ； AUML ； Design Patterns ； Components ；
7	软件工程专业校企合作人才培养长效机制研究——以潍坊科技学院软件工程专业为例	刘君	天津中德职业技术学院学报	2016-04-15	期刊		32	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=TJZD201602011&DbName=CJFDLAST2016&DbCode=CJFQ	校企合作和工学结合能够在教学过程中最大限度地体现出学校与企业的双重优势,实现教学过程与企业工作过程、教学实施与企业运营、教学考核与企业评价的有机结合,最终保证地方高校培养应用型人才和企业获取更多利润的双赢。文章以潍坊科技学院软件工程专业为例进行地方本科院校软件工程专业校企合作人才培养长效机制研究,实现校企共同整合资源,建立健全人才培养模式,校企共同设计和开发课程体系,校企共同改革教学方法。	软件工程专业 ； 校企合作 ； 长效机制 ； Software Engineering Major ； Cooperation between Colleges and Enterprises ； Persistent Effective Mechanism ；
8	一种CASE工具在《软件工程》教学实践中的应用	李智	现代计算机	2013-05-15	期刊	0	30	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS201314007&DbName=CJFDLAST2013&DbCode=CJFQ	CASE工具可以支持软件生命周期各阶段的开发活动。探讨如何将自主开发的软件需求工程CASE工具有效地应用在硕士研究生《软件工程》课程教学实践中,并通过一系列案例教学模式的推广和应用,有效提高学生对软件需求分析的能力。	计算机辅助软件工程(CASE) ； 软件需求工程 ； 实践教学 ； Computer-Aided Software Engineering(CASE) ； Software Requirements ； Practical Teaching ；
9	应用型软件工程人才培养产学研一体化实训体系建设探索——以梧州学院软件工程人才培养为例	吴洁明	梧州学院学报	2012-04-25	期刊	3	113	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WZFX201202015&DbName=CJFD1112&DbCode=CJFQ	针对软件产业发展对软件工程人才培养提出的新需求,对目前大多数高校培养软件工程人才与社会需求脱节的现象和原因进行分析。论述了应用型软件工程人才培养产学研一体化实训体系的构建,提出软件工程人才产学研实训体系建设应包括课程体系改革、验证性实验室建设、软件项目实训平台构建、科研研发平台建设以及软件应用企业运行体验等全程培养模式,并对梧州学院的建设情况进行实证分析。	软件工程 ； 人才培养 ； 产学研一体化 ； 实训体系 ； 建设模式 ； software engineering ； training of talents ； integration of production,teaching and research ； practical training system ； construction model ；
10	基于软件工程学的“3+1维”软件工程法	吴坤	北方交通大学学报	2001-04-30	期刊	4	86	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=BFJT200102009&DbName=CJFD9902&DbCode=CJFQ	提出了一种新的“3+1维”软件工程法 .首先介绍了该方法的开发阶段 ,然后结合一个交互式多媒体教育软件开发项目详细介绍了该方法的开发过程 .该方法的特点是用户和开发人员紧密合作 ,通过循环往复地认清和体现用户需求的方式来指导软件开发 .	软件工程 ； 软件开发 ； “3+1维”软件工程法 ； software engineering ； software development ； “3+1 Dimension” software engineering method ；
11	软件工程新进展:组件软件工程	马红	现代计算机(专业版)	2001-08-30	期刊	10	190	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS200108005&DbName=CJFD9902&DbCode=CJFQ	本文首先介绍了组件、基于组件的软件工程的概念、特点和意义,然后论述了组件软件工程的开发过程和开发方法,并与传统的软件开发方法进行了比较。组件软件工程的出现,将会大大提高软件生产效率,增加软件的可靠性、易读性、易维护性。	组件 ； 软件工程 ； 组件软件工程 ； Component ； Software Engineering ； Component  Based Software Engineering ；
