1	基于软件工程专业课程体系的学风建设——以重庆理工大学软件工程系为例	张小川	软件导刊	2014-12-17 08:28	期刊		14	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=RJDK201412062&DbName=CJFDLAST2015&DbCode=CJFQ
2	软件工程专业《软件工程》课程教学的探索	李振宏	现代计算机(专业版)	2015-11-05	期刊		6	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS201531007&DbName=CJFDLAST2015&DbCode=CJFQ
3	面向东盟软件工程专业人才培养模式的探讨——以广西民族大学软件工程专业为例	周永权	高教论坛	2011-11-20	期刊	3	138	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GGJY201111004&DbName=CJFD1112&DbCode=CJFQ
4	Software, Software Engineering and Software Engineering Research: Some Unconventional Thoughts	David Notkin	Journal of Computer Science & Technology	2009-03-15	期刊	8	425	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSKB200902003&DbName=CJFD0910&DbCode=CJFQ
5	From knowledge based software engineering to knowware based software engineering		Science in China(Series F:Information Sciences)	2008-06-15	期刊	8	194	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JFXG200806005&DbName=CJFD0608&DbCode=CJFQ
6	软件工程方法的新进展:面向Agent的软件工程	嵇海明	计算机应用研究	2003-05-28	期刊	30	548	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSYJ200305002&DbName=CJFD0305&DbCode=CJFQ
7	软件工程专业校企合作人才培养长效机制研究——以潍坊科技学院软件工程专业为例	刘君	天津中德职业技术学院学报	2016-04-15	期刊		32	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=TJZD201602011&DbName=CJFDLAST2016&DbCode=CJFQ
8	一种CASE工具在《软件工程》教学实践中的应用	李智	现代计算机	2013-05-15	期刊	0	30	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS201314007&DbName=CJFDLAST2013&DbCode=CJFQ
9	应用型软件工程人才培养产学研一体化实训体系建设探索——以梧州学院软件工程人才培养为例	吴洁明	梧州学院学报	2012-04-25	期刊	3	113	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WZFX201202015&DbName=CJFD1112&DbCode=CJFQ
10	基于软件工程学的“3+1维”软件工程法	吴坤	北方交通大学学报	2001-04-30	期刊	4	86	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=BFJT200102009&DbName=CJFD9902&DbCode=CJFQ
11	软件工程新进展:组件软件工程	马红	现代计算机(专业版)	2001-08-30	期刊	10	190	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS200108005&DbName=CJFD9902&DbCode=CJFQ
