title	publish_year	description
敏捷软件开发	2003	在本书中，享誉全球的软件开发专家和软件工程大师Robert C.Martin将向您展示如何解决软件开发人员、项目经理及软件项目领导们所面临的最棘手的问题。这本综合性、实用性...
应用Rails进行敏捷Web开发	2006	"这是第一本关于Ruby on Rails的著作。
全书主要内容分为两大部分。在“构建应用程序”部分中，读者将看到一个完整的“在线购书网站” 示例。在演示的过程中，作者真实..."
用户故事与敏捷方法	2010	《用户故事与敏捷方法》详细介绍了用户故事与敏捷开发方法的结合，诠释了用户故事的重要价值，用户故事的实践过程，良好用户故事编写准则，如何搜集和整理用户故事，如...
敏捷估计与规划	2007	《敏捷估计与规划》一书为对敏捷项目进行估计与规划提供了权威实际的指导方针。在本书中，敏捷联盟的共同创始人Mike Cohn讨论了敏捷估计与规划的思想，并使用现实的例子...
Web开发敏捷之道	2007	《Web开发敏捷之道:应用Rails进行敏捷Web开发(第2版)》内容简介：全书主要分为两大部分。在“构建应用程序”部分中，读者将看到一个完整的“在线购书网站”示例。在随后...
Scrum敏捷项目管理	2007	《Scrum敏捷项目管理》探索Scrum的每一方面，包括科学原理、全新的项目角色及责任、ScrumMaster、产品负责人、如何有效管理未知因素和不断变化的产品需求、如何结束混乱...
Scrum敏捷软件开发	2010	《Scrum敏捷软件开发》是敏捷联盟及Scrum联盟创始人之一、敏捷估算及计划的鼻祖Mike　Cohn三大经典著作中影响最为深厚的扛鼎之作，也是全球敏捷社区中获得广泛肯定的企...
敏捷革命：提升个人创造力与企业效率的全新协作模式	2017	"有一种神奇的项目管理方法：
张小龙用它来开发QQ邮箱，管理微信团队；
京东、华为、中兴都在进行内部学习；
HBO的热剧《硅谷》将它搬上荧幕
通用电气利用它加速实现了“..."
敏捷软件开发（影印版）	2003	"敏捷软件开发2003Jolt大奖
    ·软件开发和管理人员必读经典
    ·《Refactoring》作者Martin Fowler全力推荐
    ·原汁原味，零距离领悟大师思想精髓"
敏捷软件开发	2008	《敏捷软件开发:原则模式和实践(C#版)》不仅是一部深入浅出、生动易懂的面向对象原则与设计模式著作。而且还是一部通俗的敏捷方法导引书和快速实用的LJML教程。通过《敏...
敏捷开发的艺术	2009	本书为那些正在考虑应用敏捷开发来构建有价值软件的人们提供了实用的指导。现在已经有大量的书籍描述敏捷开发是什么或者为什么它能帮助软件项目成功，但很少有哪一本书...
Web开发敏捷之道	2010	"全书主要分为两大部分。在“构建应用程序”部分中，读者将看到一个完整的“在线购书网站”示例。在随后的“Rails框架”部分中，作者深入介绍了Rails框架的各个组件。
除..."
敏捷无敌	2009	《敏捷无敌》全书以别出心裁的形式，描述了工程师阿捷从求职到得到知名外企的Offer，继而通过坚韧的努力，在“敏捷圣贤”的帮助下，在项目开发中从无到有学习并应用“敏...
敏捷软件测试	2010	《敏捷软件测试:测试人员与敏捷团队的实践指南》内容简介：测试是敏捷开发的关键组成部分。敏捷方法的广泛应用使人们开始关注如何有效测试，同时敏捷项目改变了测试人员...
敏捷软件开发	2008	《敏捷软件开发原则、模式与实践》(英文注释版)中，享誉全球的软件开发专家和软件工程大师Robert C. Martin深入而生动地使用真实案例讲解了面向对象基本原则、重要的设...
敏捷项目管理	2005	又名: Agile Project Management: Creating Innovative Products这本书的目标读者群是项目经理，即那些带领团队穿越那令人激动但往往又凌乱不堪的流程、将构想转化为产...
敏捷武士	2012	"内容简介：
在激烈竞争和充满无限可能的今天，响应变化的能力已成为组织的核心生存能力。因此，敏捷对于软件开发组织是一个必然的选择，而非一个可有可无选项。但如何正..."
敏捷迭代开发	2004	对于迭代开发，著名的方法大师Craig Larman通过统计意义上的重要研究，以及大规模的项目案例分析，为读者呈现了最具有说服力的观点。Larman简要而又涵盖大量信息的总结...
敏捷软件开发	2008	本书提示了敏捷软件开发的真正内涵。全书以“软件是创造和沟通的合作博弈”为中心向读者展示一个看待软件开发的崭新视角。全书共13章，包括创造和沟通的合作博弈、个人...
Web开发敏捷之道	2012	本书第1版曾荣获Jolt大奖“最佳技术图书”奖。在前3版的内容架构基础上，第4版增加了关于Rails中新特性和最佳实践的内容。本书从逐步创建一个真正的应用程序开始，然后...
敏捷技能修炼	2012	《敏捷技能修炼：敏捷软件开发与设计的最佳实践》的4位作者都是世界顶级的软件开发专家和敏捷导师，都有数十年的软件行业从业经验，其中3位曾荣获Jolt大奖。本书是敏捷...
敏捷软件开发	2010	要想成为一名优秀的软件开发人员，需要熟练应用编程语言和开发工具，更重要的是能够领悟优美代码背后的原则和前人总结的经验——这正是本书的主题。本书凝聚了世界级软...
敏捷建模:极限编程和统一过程的有效实践	2003	本书将软件制造业与传统建筑业相比
敏捷教练	2013	《敏捷教练：如何打造优秀的敏捷团队》取材于国际知名敏捷教练的真实经历，展示了他们在辅导团队进行敏捷实践过程中所积累的辅导技巧，凝聚着他们在对敏捷辅导的真知灼...
当用户体验设计遇上敏捷	2013	《当用户体验设计遇上敏捷》分为三个部分：第一部分介绍了什么是敏捷。即使读者对敏捷完全了解，仍旧值得读一读这部分内容；第二部分介绍了项目过程，并探究敏捷框架中...
敏捷项目管理	2010	《敏捷项目管理(第2版)》内容简介：如今，项目管理的步伐越来越快。项目管理需要更灵活、更积极地，向应客户的需求。使用敏捷项目管理方法，项目经理可以在不影响价值、...
Scrum敏捷项目管理实战	2009	《Scrum敏捷项目管理实战》共3部分，由9章5个附录组成。第1-3章描述Scrum采用方案。第4章和第5章针对阻碍Scrum方法推广的成规陋习提出看法，并介绍某些企业的应对之策。...
敏捷软件开发工具	2004	
Scrum敏捷产品管理	2013	通过《Scrum敏捷产品管理:打造用户喜爱的产品》我们可以在业内知名顾问Roman Pichler的引导下，通过实际案例来理解什么是产品负责人，如何在Scrum敏捷环境中打造用户喜...
敏捷数据科学	2014	《敏捷数据科学：用Hadoop创建数据分析应用》面向大数据挖掘，以敏捷视角呈现高效构建数据模型的全程实践和思路。在一组以一个真实电子邮箱数据挖掘为例的数据-价值金字...
敏捷数据	2006	本书作者在数据及对象技术方面都有很深造诣，多年的经验使他深刻地认识到：数据专业人员常常过于专注数据而忽视对象开发人员所面临的困难；而对象开发人员又没有或有很...
HTML5敏捷实践	2013	HTML5敏捷实践》共分10章，包括了HTML5中的语义化、新的样式、多媒体支持、新的图形实现方式、更易用交互功能、浏览器客户端存储、地理定位、Web Worker API、Node.js ...
敏捷软件开发	2004	如果说，本书是关于技术和系统开发工作管理的最重要的著作，也许会有争议；但本书确实描述了如何使用貌似简单、实则精妙无比的Scrum过程快速地构建系统。通过本书，读者...
敏捷回顾	2012	《敏捷回顾:团队从优秀到卓越之道》结合实际案例，深入阐述了敏捷回顾的基本理论和可操作性的工具、方法及流程，以帮助团队在每个迭代中检查在项目中哪些事情做得对、哪...
Ruby on Rails敏捷开发最佳实践	2008	《Ruby on Rails敏捷开发最佳实践》适用于正在使用Ruby On Rails进行应用开发的开发人员、渴望了解Ruby On Rails框架的开发人员，尤其适合有初步的Java EE开发经验，想...
JAVA敏捷开发	2007	《Java敏捷开发:使用Spring、Hibernate和Eclipse》介绍了一种将极限编程（XP）、敏捷模型驱动、重构等方法相结合的敏捷软件开发过程和软件开发需要的3种重要的技术。全...
敏捷用户体验设计	2014	这是一本关于敏捷用户体验的专著，由资深用户体验设计专家撰写，不仅系统且深入地阐释将敏捷方法用于用户体验设计的工具、方法、原则和最佳实践，而且对各种常见的问题...
SCRUM敏捷项目管理	2007	The rules and practices for Scrum--a simple process for managing complex projects--are few, straightforward,and easy to learn. But Scrum's simplicity itself-...
敏捷软件开发	2003	
